# dataset: COLLAB
# type: GAT
# train_mode: P
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.942187;0.544750;0.913883;0.534000;0.910116;0.556000;0.000000;0.502615;0.084492;0.567588
1;0.851695;0.586750;0.894800;0.580000;0.881401;0.580000;0.000000;0.526789;0.106266;0.559708
2;0.801693;0.617500;0.892008;0.584000;0.866830;0.580000;0.000000;0.526676;0.094150;0.550691
3;0.792546;0.623500;0.851133;0.580000;0.830364;0.584000;0.000000;0.534692;0.125759;0.532209
4;0.777031;0.631250;0.887312;0.582000;0.877673;0.594000;0.000000;0.540146;0.110040;0.555911
5;0.768458;0.637750;0.842310;0.604000;0.851718;0.556000;0.000000;0.498389;0.102332;0.541655
6;0.764646;0.634500;0.997120;0.590000;0.971407;0.582000;0.000000;0.527331;0.162088;0.594923
7;0.767590;0.634750;0.930420;0.588000;0.913276;0.588000;0.000000;0.534358;0.140802;0.570644
8;0.757061;0.643500;0.969919;0.578000;0.968070;0.584000;0.000000;0.530952;0.179670;0.595942
9;0.751306;0.644000;0.909548;0.580000;0.893856;0.588000;0.000000;0.534610;0.131005;0.559701
10;0.746081;0.654000;0.915234;0.582000;0.900375;0.598000;0.000000;0.544325;0.127242;0.562303
11;0.755602;0.648500;0.920848;0.588000;0.925514;0.598000;0.000000;0.543566;0.140188;0.569674
12;0.745063;0.652000;1.007062;0.600000;0.987953;0.592000;0.000000;0.537590;0.153332;0.590205
