# dataset: COLLAB
# type: GAT
# train_mode: S
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.948203;0.532750;1.035325;0.540000;1.005933;0.540000;0.000000;0.487259;0.169098;0.619001
1;0.780729;0.642000;1.041578;0.570000;0.993813;0.586000;0.000000;0.538151;0.186746;0.602099
2;0.763201;0.640750;1.013069;0.578000;0.979210;0.572000;0.000000;0.525778;0.171043;0.593004
3;0.742713;0.646750;1.387856;0.422000;1.395779;0.418000;0.000000;0.349904;0.336455;0.774428
4;0.735436;0.661500;1.420641;0.512000;1.382379;0.526000;0.000000;0.472598;0.282734;0.746992
5;0.732668;0.661000;2.184862;0.392000;2.210490;0.386000;0.000000;0.292177;0.479846;1.029800
6;0.714742;0.683500;1.588111;0.488000;1.581685;0.492000;0.000000;0.438163;0.338744;0.816021
7;0.721856;0.669250;1.238286;0.546000;1.226929;0.522000;0.000000;0.475737;0.226738;0.662599
8;0.715680;0.675500;1.398375;0.522000;1.407879;0.492000;0.000000;0.443194;0.336270;0.767633
9;0.710176;0.677500;1.648150;0.466000;1.680781;0.430000;0.000000;0.370681;0.385038;0.848695
