# dataset: COLLAB
# type: GAT
# train_mode: T
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.161602;0.978500;0.045387;1.000000;0.038959;1.000000;0.000000;1.000000;0.036425;0.006045
1;0.014301;1.000000;0.019386;1.000000;0.026310;1.000000;0.000000;1.000000;0.022184;0.009424
2;0.005384;1.000000;0.011009;1.000000;0.008710;1.000000;0.000000;1.000000;0.008527;0.000555
3;0.003587;1.000000;0.006117;1.000000;0.005494;1.000000;0.000000;1.000000;0.005347;0.000277
4;0.002505;1.000000;0.004743;1.000000;0.003787;1.000000;0.000000;1.000000;0.003731;0.000148
5;0.001884;1.000000;0.012552;1.000000;0.037094;0.982000;0.000000;0.982265;0.022607;0.023486
6;0.001212;1.000000;0.002895;1.000000;0.003406;1.000000;0.000000;1.000000;0.003308;0.000289
7;0.001130;1.000000;0.004661;1.000000;0.013376;1.000000;0.000000;1.000000;0.010850;0.006503
8;0.001781;1.000000;0.221622;0.902000;0.260796;0.910000;0.000000;0.913520;0.081014;0.138197
9;0.000884;1.000000;0.013541;1.000000;0.034842;0.982000;0.000000;0.982265;0.023767;0.018534
10;0.000611;1.000000;0.009150;1.000000;0.014478;1.000000;0.000000;1.000000;0.012809;0.005500
11;0.000420;1.000000;0.015221;1.000000;0.054777;0.982000;0.000000;0.982265;0.034453;0.031544
12;0.000400;1.000000;0.167395;0.938000;0.284711;0.906000;0.000000;0.904511;0.060328;0.131253
