# dataset: IMDB-BINARY
# type: GAT
# train_mode: P
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.722468;0.508750;0.688443;0.500000;0.694190;0.580000;0.425698;0.425823;0.046096;0.491728
1;0.720255;0.467500;0.687432;0.500000;0.694236;0.580000;0.452997;0.425823;0.048708;0.494058
2;0.714577;0.478750;0.695726;0.420000;0.689847;0.580000;0.477422;0.496175;0.049514;0.495712
3;0.697336;0.530000;0.694102;0.560000;0.712932;0.510000;0.507800;0.504842;0.085318;0.525805
4;0.696934;0.550000;0.702553;0.560000;0.697624;0.520000;0.514984;0.484000;0.087697;0.521601
5;0.692411;0.528750;0.683696;0.500000;0.689246;0.530000;0.522373;0.510654;0.011341;0.501837
6;0.683185;0.570000;0.682360;0.500000;0.679824;0.540000;0.520525;0.518769;0.009258;0.496769
7;0.684290;0.537500;0.678195;0.490000;0.686204;0.540000;0.528530;0.518769;0.032145;0.499848
8;0.688960;0.560000;0.695016;0.510000;0.671198;0.570000;0.536741;0.571706;0.045499;0.503418
9;0.687486;0.555000;0.688719;0.440000;0.673166;0.520000;0.527094;0.513342;0.024754;0.491981
10;0.678551;0.568750;0.685746;0.510000;0.671714;0.600000;0.572044;0.560916;0.050276;0.484658
11;0.671177;0.575000;0.682990;0.520000;0.692718;0.590000;0.603448;0.463914;0.073027;0.483513
12;0.680445;0.585000;0.692164;0.490000;0.735055;0.510000;0.512521;0.458163;0.119156;0.516618
13;0.693036;0.543750;0.682987;0.520000;0.687162;0.580000;0.538383;0.442937;0.038164;0.487022
14;0.659579;0.618750;0.686931;0.450000;0.670309;0.480000;0.534278;0.456000;0.108024;0.494231
