# dataset: IMDB-BINARY
# type: GAT
# train_mode: S
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.735223;0.547500;0.722572;0.490000;0.699685;0.450000;0.463232;0.279310;0.111519;0.524167
1;0.728688;0.525000;0.750734;0.490000;0.719518;0.450000;0.386869;0.279310;0.184548;0.572563
2;0.710058;0.576250;0.707985;0.510000;0.684727;0.460000;0.435152;0.379144;0.094658;0.524353
3;0.712104;0.588750;0.737776;0.500000;0.705671;0.460000;0.417576;0.331429;0.152200;0.561691
4;0.707242;0.588750;0.748545;0.540000;0.668851;0.480000;0.504242;0.427799;0.120285;0.531014
5;0.697108;0.598750;0.745620;0.520000;0.686311;0.460000;0.475152;0.344881;0.150468;0.551852
6;0.701395;0.586250;0.768208;0.490000;0.737231;0.450000;0.424242;0.279310;0.222212;0.602499
7;0.704601;0.583750;0.747010;0.490000;0.725860;0.450000;0.424242;0.279310;0.219369;0.580030
8;0.699620;0.578750;0.761494;0.450000;0.728101;0.430000;0.439798;0.339232;0.212764;0.593455
9;0.703847;0.551250;0.764333;0.420000;0.708521;0.410000;0.474949;0.327038;0.200471;0.564447
