# dataset: IMDB-BINARY
# type: GAT
# train_mode: T
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.236545;0.932500;0.681417;0.460000;0.679827;0.570000;0.799091;0.564779;0.040302;0.484788
1;0.048085;1.000000;0.369231;0.870000;0.535511;0.670000;0.811492;0.672182;0.226062;0.334410
2;0.027842;1.000000;0.068372;1.000000;0.027765;1.000000;1.000000;1.000000;0.029821;0.002568
3;0.014988;1.000000;0.028496;1.000000;0.009188;1.000000;1.000000;1.000000;0.009601;0.000214
4;0.010289;1.000000;0.071771;1.000000;0.007733;1.000000;1.000000;1.000000;0.008034;0.000169
5;0.010418;1.000000;0.018700;1.000000;0.004234;1.000000;1.000000;1.000000;0.004416;0.000044
6;0.007041;1.000000;0.018288;1.000000;0.003842;1.000000;1.000000;1.000000;0.003991;0.000038
7;0.006123;1.000000;0.075100;0.870000;0.002975;1.000000;1.000000;1.000000;0.003083;0.000022
8;0.005309;1.000000;0.005836;1.000000;0.002448;1.000000;1.000000;1.000000;0.002540;0.000015
9;0.004321;1.000000;0.005164;1.000000;0.002035;1.000000;1.000000;1.000000;0.002106;0.000010
10;0.002950;1.000000;0.004087;1.000000;0.001935;1.000000;1.000000;1.000000;0.002002;0.000010
11;0.002837;1.000000;0.011144;1.000000;0.001563;1.000000;1.000000;1.000000;0.001614;0.000006
12;0.002687;1.000000;0.002856;1.000000;0.001388;1.000000;1.000000;1.000000;0.001435;0.000005
13;0.002422;1.000000;0.002246;1.000000;0.001021;1.000000;1.000000;1.000000;0.001055;0.000002
14;0.002826;1.000000;0.004062;1.000000;0.001159;1.000000;1.000000;1.000000;0.001196;0.000004
15;0.001595;1.000000;0.002223;1.000000;0.001017;1.000000;1.000000;1.000000;0.001050;0.000003
16;0.001802;1.000000;0.002966;1.000000;0.000825;1.000000;1.000000;1.000000;0.000850;0.000002
17;0.002124;1.000000;0.002846;1.000000;0.000708;1.000000;1.000000;1.000000;0.000729;0.000001
18;0.001544;1.000000;0.000798;1.000000;0.000745;1.000000;1.000000;1.000000;0.000770;0.000002
19;0.001483;1.000000;0.000961;1.000000;0.000564;1.000000;1.000000;1.000000;0.000581;0.000001
20;0.001324;1.000000;0.000909;1.000000;0.000519;1.000000;1.000000;1.000000;0.000535;0.000001
21;0.000858;1.000000;0.001492;1.000000;0.000542;1.000000;1.000000;1.000000;0.000558;0.000001
22;0.000804;1.000000;0.000639;1.000000;0.000442;1.000000;1.000000;1.000000;0.000455;0.000000
23;0.001160;1.000000;0.000505;1.000000;0.000377;1.000000;1.000000;1.000000;0.000389;0.000000
24;0.000996;1.000000;0.001571;1.000000;0.000403;1.000000;1.000000;1.000000;0.000413;0.000000
25;0.001044;1.000000;0.017332;1.000000;0.000467;1.000000;1.000000;1.000000;0.000481;0.000001
26;0.000810;1.000000;0.000944;1.000000;0.000356;1.000000;1.000000;1.000000;0.000365;0.000000
27;0.000627;1.000000;0.000538;1.000000;0.000341;1.000000;1.000000;1.000000;0.000350;0.000000
28;0.000698;1.000000;0.000608;1.000000;0.000299;1.000000;1.000000;1.000000;0.000308;0.000000
29;0.000722;1.000000;0.000393;1.000000;0.000279;1.000000;1.000000;1.000000;0.000287;0.000000
30;0.000480;1.000000;0.000301;1.000000;0.000272;1.000000;1.000000;1.000000;0.000281;0.000000
31;0.000607;1.000000;0.000333;1.000000;0.000238;1.000000;1.000000;1.000000;0.000246;0.000000
32;0.000645;1.000000;0.000238;1.000000;0.000222;1.000000;1.000000;1.000000;0.000230;0.000000
33;0.001058;1.000000;0.000260;1.000000;0.000194;1.000000;1.000000;1.000000;0.000200;0.000000
34;0.000541;1.000000;0.000395;1.000000;0.000204;1.000000;1.000000;1.000000;0.000209;0.000000
35;0.000408;1.000000;0.000249;1.000000;0.000205;1.000000;1.000000;1.000000;0.000211;0.000000
36;0.000406;1.000000;0.000349;1.000000;0.000181;1.000000;1.000000;1.000000;0.000186;0.000000
37;0.000453;1.000000;0.000233;1.000000;0.000171;1.000000;1.000000;1.000000;0.000175;0.000000
38;0.000513;1.000000;0.000251;1.000000;0.000150;1.000000;1.000000;1.000000;0.000153;0.000000
39;0.000435;1.000000;0.000235;1.000000;0.000151;1.000000;1.000000;1.000000;0.000155;0.000000
40;0.000474;1.000000;0.000669;1.000000;0.000198;1.000000;1.000000;1.000000;0.000204;0.000000
41;0.000304;1.000000;0.000303;1.000000;0.000157;1.000000;1.000000;1.000000;0.000162;0.000000
42;0.000279;1.000000;0.000300;1.000000;0.000167;1.000000;1.000000;1.000000;0.000173;0.000000
43;0.000232;1.000000;0.000402;1.000000;0.000159;1.000000;1.000000;1.000000;0.000164;0.000000
44;0.000498;1.000000;0.000197;1.000000;0.000123;1.000000;1.000000;1.000000;0.000126;0.000000
45;0.000332;1.000000;0.000264;1.000000;0.000129;1.000000;1.000000;1.000000;0.000134;0.000000
46;0.000275;1.000000;0.000251;1.000000;0.000134;1.000000;1.000000;1.000000;0.000141;0.000000
47;0.000278;1.000000;0.000972;1.000000;0.000128;1.000000;1.000000;1.000000;0.000132;0.000000
48;0.000250;1.000000;0.000229;1.000000;0.000131;1.000000;1.000000;1.000000;0.000138;0.000000
49;0.000270;1.000000;0.000433;1.000000;0.000129;1.000000;1.000000;1.000000;0.000133;0.000000
50;0.000276;1.000000;0.000129;1.000000;0.000118;1.000000;1.000000;1.000000;0.000124;0.000000
51;0.000617;1.000000;0.001798;1.000000;0.000151;1.000000;1.000000;1.000000;0.000155;0.000000
52;0.000287;1.000000;0.001900;1.000000;0.000108;1.000000;1.000000;1.000000;0.000111;0.000000
53;0.000186;1.000000;0.000650;1.000000;0.000112;1.000000;1.000000;1.000000;0.000115;0.000000
54;0.000204;1.000000;0.001150;1.000000;0.000112;1.000000;1.000000;1.000000;0.000114;0.000000
55;0.000156;1.000000;0.002655;1.000000;0.000114;1.000000;1.000000;1.000000;0.000117;0.000000
56;0.001272;1.000000;0.000127;1.000000;0.000116;1.000000;1.000000;1.000000;0.000129;0.000000
57;0.000639;1.000000;0.019671;1.000000;0.018194;1.000000;1.000000;1.000000;0.021626;0.003098
58;0.000360;1.000000;0.032033;1.000000;0.000408;1.000000;1.000000;1.000000;0.000426;0.000001
59;0.000311;1.000000;0.005195;1.000000;0.000138;1.000000;1.000000;1.000000;0.000150;0.000000
60;0.000499;1.000000;0.010367;1.000000;0.000110;1.000000;1.000000;1.000000;0.000116;0.000000
61;0.000272;1.000000;0.022377;1.000000;0.000103;1.000000;1.000000;1.000000;0.000109;0.000000
62;0.000252;1.000000;0.160703;0.870000;0.000162;1.000000;1.000000;1.000000;0.000167;0.000000
63;0.000327;1.000000;0.001065;1.000000;0.000153;1.000000;1.000000;1.000000;0.000184;0.000000
