# dataset: IMDB-MULTI
# type: GAT
# train_mode: P
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;1.149162;0.334167;1.097711;0.366667;1.098793;0.346667;0.000000;0.317136;0.004319;0.666775
1;1.136710;0.326667;1.110154;0.346667;1.118825;0.273333;0.000000;0.196039;0.093618;0.679382
2;1.107914;0.360833;1.114844;0.386667;1.110562;0.360000;0.000000;0.246776;0.064798;0.675291
3;1.115301;0.330833;1.093151;0.306667;1.086763;0.426667;0.000000;0.381400;0.046510;0.659817
4;1.102567;0.375000;1.100723;0.380000;1.080744;0.440000;0.000000;0.410991;0.061433;0.656273
5;1.110268;0.338333;1.081727;0.440000;1.101343;0.366667;0.000000;0.305558;0.027246;0.667610
6;1.105594;0.368333;1.104115;0.386667;1.090245;0.413333;0.000000;0.356593;0.101646;0.664653
7;1.104743;0.377500;1.110393;0.320000;1.104113;0.313333;0.000000;0.248265;0.074691;0.671079
8;1.105018;0.359167;1.082789;0.393333;1.086397;0.413333;0.000000;0.381443;0.020190;0.660495
9;1.101071;0.365000;1.103127;0.413333;1.081294;0.366667;0.000000;0.265916;0.039922;0.657439
10;1.100184;0.364167;1.097148;0.393333;1.086351;0.420000;0.000000;0.375108;0.106320;0.660573
11;1.091956;0.375000;1.085732;0.333333;1.081752;0.413333;0.000000;0.355248;0.044046;0.656581
12;1.091673;0.389167;1.092014;0.393333;1.073926;0.413333;0.000000;0.370389;0.035576;0.653113
