# dataset: IMDB-MULTI
# type: GAT
# train_mode: S
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;1.141128;0.355833;1.112057;0.413333;1.095113;0.353333;0.000000;0.308296;0.033328;0.664383
1;1.124860;0.381667;1.116593;0.406667;1.107750;0.366667;0.000000;0.252090;0.029131;0.671887
2;1.118596;0.370833;1.099184;0.413333;1.092250;0.380000;0.000000;0.286929;0.043279;0.662352
3;1.113822;0.379167;1.099518;0.446667;1.080432;0.413333;0.000000;0.341326;0.017227;0.654784
4;1.109298;0.393333;1.092037;0.433333;1.080801;0.366667;0.000000;0.343765;0.025590;0.655340
5;1.103434;0.376667;1.093708;0.440000;1.087237;0.406667;0.000000;0.334807;0.014918;0.658730
6;1.100043;0.385000;1.097683;0.433333;1.094402;0.380000;0.000000;0.335863;0.077551;0.664412
7;1.099798;0.388333;1.104131;0.440000;1.100807;0.393333;0.000000;0.311745;0.012213;0.663394
8;1.105720;0.370833;1.091884;0.420000;1.079570;0.380000;0.000000;0.290718;0.036922;0.653756
9;1.105407;0.375833;1.111950;0.420000;1.105806;0.353333;0.000000;0.225650;0.065852;0.669917
10;1.101741;0.395833;1.089537;0.426667;1.087058;0.366667;0.000000;0.279058;0.027290;0.659344
11;1.094411;0.389167;1.097487;0.426667;1.090029;0.373333;0.000000;0.272933;0.045394;0.659473
12;1.091651;0.405833;1.102437;0.420000;1.098286;0.340000;0.000000;0.215353;0.088124;0.666776
13;1.101054;0.388333;1.096150;0.440000;1.076965;0.366667;0.000000;0.252838;0.032876;0.653022
14;1.091770;0.387500;1.100095;0.433333;1.093794;0.360000;0.000000;0.249269;0.068956;0.661847
15;1.099679;0.395833;1.095174;0.426667;1.091930;0.360000;0.000000;0.267144;0.034599;0.662202
16;1.096213;0.400000;1.099815;0.426667;1.088874;0.366667;0.000000;0.260169;0.049111;0.659445
17;1.093353;0.390000;1.106636;0.426667;1.094260;0.373333;0.000000;0.272740;0.044780;0.663349
