# dataset: IMDB-MULTI
# type: GAT
# train_mode: T
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.382700;0.885000;1.035458;0.473333;1.048399;0.453333;0.000000;0.466298;0.100693;0.634764
1;0.067653;0.998333;0.342282;0.926667;0.345771;0.906667;0.000000;0.907115;0.185699;0.189475
2;0.029155;1.000000;0.075238;0.980000;0.075714;1.000000;0.000000;1.000000;0.068018;0.028799
3;0.017138;1.000000;0.117727;0.980000;0.128767;0.946667;0.000000;0.946384;0.076696;0.077374
4;0.012288;1.000000;0.106921;0.980000;0.081586;0.946667;0.000000;0.946384;0.059462;0.044413
5;0.009172;1.000000;0.100706;0.980000;0.079801;0.946667;0.000000;0.946384;0.061085;0.041886
6;0.007931;1.000000;0.092279;0.980000;0.081705;0.946667;0.000000;0.946384;0.061476;0.046112
7;0.005596;1.000000;0.090003;0.980000;0.082482;0.946667;0.000000;0.946384;0.056421;0.051995
8;0.004789;1.000000;0.078527;0.980000;0.088098;0.946667;0.000000;0.946384;0.058721;0.056501
9;0.003719;1.000000;0.061440;0.980000;0.056908;1.000000;0.000000;1.000000;0.047869;0.029359
10;0.003826;1.000000;0.108963;0.980000;0.109162;0.946667;0.000000;0.946384;0.060710;0.074815
11;0.003190;1.000000;0.178735;0.926667;0.174678;0.946667;0.000000;0.946384;0.077554;0.108998
12;0.002628;1.000000;0.060497;0.980000;0.049595;1.000000;0.000000;1.000000;0.040601;0.027126
13;0.002135;1.000000;0.116893;0.980000;0.116804;0.946667;0.000000;0.946384;0.045184;0.079328
14;0.002028;1.000000;0.127198;0.980000;0.140343;0.946667;0.000000;0.946384;0.068986;0.092187
15;0.036665;0.991667;0.430322;0.800000;0.391327;0.800000;0.000000;0.776316;0.159641;0.248872
16;0.088168;0.989167;0.101277;0.926667;0.130923;0.900000;0.000000;0.895319;0.092317;0.090811
17;0.068491;0.980000;0.006954;1.000000;0.008215;1.000000;0.000000;1.000000;0.008313;0.000203
18;0.005683;1.000000;0.004007;1.000000;0.004224;1.000000;0.000000;1.000000;0.004230;0.000061
19;0.003062;1.000000;0.003057;1.000000;0.003306;1.000000;0.000000;1.000000;0.003356;0.000053
20;0.002180;1.000000;0.002966;1.000000;0.004097;1.000000;0.000000;1.000000;0.004212;0.000129
21;0.002761;1.000000;0.002149;1.000000;0.003011;1.000000;0.000000;1.000000;0.003106;0.000072
22;0.002049;1.000000;0.001682;1.000000;0.001919;1.000000;0.000000;1.000000;0.001948;0.000010
23;0.001742;1.000000;0.002171;1.000000;0.001819;1.000000;0.000000;1.000000;0.001841;0.000015
24;0.001219;1.000000;0.001732;1.000000;0.001779;1.000000;0.000000;1.000000;0.001816;0.000015
25;0.002341;1.000000;0.012096;1.000000;0.006116;1.000000;0.000000;1.000000;0.005928;0.000467
26;0.001826;1.000000;0.007162;1.000000;0.003373;1.000000;0.000000;1.000000;0.003371;0.000201
27;0.005194;0.998333;0.048963;1.000000;0.050684;1.000000;0.000000;1.000000;0.047429;0.009063
28;0.005626;1.000000;0.004242;1.000000;0.010538;1.000000;0.000000;1.000000;0.010667;0.001910
29;0.001213;1.000000;0.002327;1.000000;0.005643;1.000000;0.000000;1.000000;0.005836;0.000529
