# dataset: MUTAG
# type: GAT
# train_mode: P
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.629124;0.686667;0.624811;0.789474;0.715018;0.421053;0.681818;0.249513;0.135935;0.521785
1;0.612969;0.680000;0.639542;0.789474;0.703766;0.421053;0.659091;0.249513;0.115629;0.510612
2;0.611290;0.686667;0.636536;0.789474;0.699461;0.421053;0.670455;0.249513;0.111327;0.506325
3;0.574499;0.693333;0.612703;0.789474;0.702509;0.421053;0.681818;0.249513;0.126840;0.509400
4;0.584145;0.713333;0.592905;0.789474;0.702178;0.421053;0.704545;0.249513;0.178394;0.509134
5;0.576426;0.666667;0.582879;0.789474;0.694978;0.526316;0.715909;0.447611;0.070857;0.502036
6;0.568652;0.746667;0.561553;0.789474;0.691683;0.526316;0.727273;0.447611;0.202276;0.498938
7;0.527098;0.720000;0.526343;0.789474;0.704952;0.526316;0.750000;0.447611;0.094416;0.512389
8;0.601195;0.700000;0.508544;0.789474;0.709614;0.473684;0.784091;0.355601;0.146090;0.517016
9;0.557913;0.733333;0.501831;0.789474;0.701690;0.578947;0.772727;0.528822;0.127717;0.509140
10;0.564909;0.700000;0.500011;0.789474;0.684680;0.631579;0.761364;0.601678;0.218201;0.492466
11;0.515225;0.753333;0.491841;0.789474;0.686316;0.631579;0.772727;0.601678;0.185955;0.493643
12;0.593185;0.726667;0.485891;0.789474;0.698807;0.578947;0.761364;0.528822;0.128419;0.504559
13;0.551439;0.760000;0.488946;0.789474;0.681618;0.578947;0.727273;0.528822;0.117804;0.487971
14;0.529383;0.753333;0.498995;0.789474;0.656786;0.631579;0.727273;0.601678;0.074729;0.465553
15;0.573613;0.713333;0.503627;0.736842;0.646097;0.631579;0.727273;0.601678;0.060886;0.456841
16;0.498737;0.753333;0.496399;0.789474;0.673878;0.578947;0.727273;0.528822;0.160830;0.481440
17;0.527451;0.753333;0.495324;0.789474;0.668329;0.578947;0.715909;0.528822;0.163346;0.476757
18;0.525914;0.753333;0.505024;0.736842;0.633392;0.631579;0.704545;0.601678;0.124285;0.448174
19;0.558875;0.733333;0.498014;0.789474;0.661745;0.578947;0.715909;0.528822;0.180303;0.471495
