# dataset: MUTAG
# type: GAT
# train_mode: S
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.679576;0.633333;0.691435;0.736842;0.660129;0.789474;0.800000;0.696594;0.263362;0.467020
1;0.659084;0.673333;0.655651;0.736842;0.620112;0.789474;0.733333;0.696594;0.228811;0.427425
2;0.643726;0.680000;0.625949;0.736842;0.586014;0.789474;0.733333;0.696594;0.198126;0.394399
3;0.649118;0.646667;0.599125;0.736842;0.552645;0.789474;0.800000;0.696594;0.256788;0.363072
4;0.616761;0.706667;0.579000;0.736842;0.526631;0.789474;0.800000;0.696594;0.236746;0.339593
5;0.611981;0.680000;0.562607;0.736842;0.502876;0.789474;0.800000;0.696594;0.153672;0.319261
6;0.603452;0.666667;0.548005;0.736842;0.480949;0.789474;0.800000;0.696594;0.215331;0.301460
7;0.589357;0.700000;0.528098;0.736842;0.454339;0.789474;0.800000;0.696594;0.182486;0.281796
8;0.575410;0.773333;0.502203;0.736842;0.430174;0.789474;0.800000;0.696594;0.153172;0.265452
9;0.563601;0.693333;0.482499;0.736842;0.408344;0.789474;0.800000;0.696594;0.127710;0.251202
10;0.563115;0.713333;0.473112;0.736842;0.396957;0.789474;0.816667;0.696594;0.108242;0.244818
11;0.604198;0.706667;0.470411;0.736842;0.394937;0.789474;0.833333;0.696594;0.085579;0.245177
12;0.579545;0.693333;0.476173;0.736842;0.397195;0.789474;0.833333;0.696594;0.081403;0.247525
13;0.571297;0.680000;0.459718;0.842105;0.392816;0.789474;0.833333;0.696594;0.066390;0.243094
14;0.577380;0.726667;0.457138;0.842105;0.382426;0.789474;0.833333;0.696594;0.063394;0.234717
15;0.600898;0.713333;0.454110;0.842105;0.379797;0.789474;0.883333;0.696594;0.057074;0.233690
16;0.524062;0.746667;0.438209;0.842105;0.374570;0.789474;0.883333;0.696594;0.043197;0.228623
17;0.577944;0.726667;0.431912;0.842105;0.372410;0.842105;0.883333;0.801914;0.036492;0.225418
18;0.532977;0.753333;0.440444;0.842105;0.367488;0.842105;0.883333;0.801914;0.103690;0.221236
19;0.612731;0.726667;0.452184;0.842105;0.373084;0.842105;0.883333;0.801914;0.038301;0.227779
20;0.529423;0.773333;0.474989;0.842105;0.370865;0.789474;0.883333;0.696594;0.067641;0.227050
21;0.558869;0.740000;0.485332;0.842105;0.362384;0.789474;0.883333;0.696594;0.062814;0.222905
22;0.544890;0.766667;0.490007;0.842105;0.360314;0.842105;0.900000;0.801914;0.074068;0.221301
23;0.558123;0.726667;0.474391;0.842105;0.345483;0.842105;0.900000;0.801914;0.044600;0.207326
24;0.563852;0.706667;0.480153;0.842105;0.354366;0.842105;0.883333;0.801914;0.071480;0.213169
