# dataset: MUTAG
# type: GAT
# train_mode: T
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.531017;0.840000;0.590922;0.894737;0.740305;0.368421;1.000000;0.198381;0.201802;0.546814
1;0.270756;0.986667;0.576786;0.894737;0.748972;0.368421;1.000000;0.198381;0.212251;0.555283
2;0.131430;1.000000;0.540313;0.894737;0.774275;0.368421;1.000000;0.198381;0.240474;0.579681
3;0.094638;1.000000;0.502398;0.894737;0.800598;0.368421;1.000000;0.198381;0.268881;0.604496
4;0.075199;1.000000;0.464889;0.894737;0.819330;0.368421;1.000000;0.198381;0.293474;0.621885
5;0.060421;1.000000;0.404092;0.894737;0.850883;0.368421;1.000000;0.198381;0.333402;0.650932
6;0.058678;1.000000;0.342970;0.894737;0.844873;0.368421;1.000000;0.198381;0.359803;0.648784
7;0.049691;1.000000;0.281680;0.894737;0.729917;0.368421;1.000000;0.198381;0.474437;0.552011
8;0.043788;1.000000;0.215543;0.894737;0.543033;0.368421;1.000000;0.198381;0.392424;0.378336
9;0.039527;1.000000;0.143311;1.000000;0.406890;1.000000;1.000000;1.000000;0.315252;0.254738
10;0.035880;1.000000;0.098027;1.000000;0.215033;1.000000;1.000000;1.000000;0.189264;0.085808
11;0.026959;1.000000;0.074125;1.000000;0.120204;1.000000;1.000000;1.000000;0.112626;0.027651
12;0.028098;1.000000;0.056446;1.000000;0.078324;1.000000;1.000000;1.000000;0.075210;0.011779
13;0.018443;1.000000;0.043622;1.000000;0.061578;1.000000;1.000000;1.000000;0.059633;0.007441
14;0.019719;1.000000;0.034954;1.000000;0.060421;1.000000;1.000000;1.000000;0.058430;0.007594
15;0.020706;1.000000;0.035450;1.000000;0.040447;1.000000;1.000000;1.000000;0.039637;0.003153
16;0.016394;1.000000;0.031085;1.000000;0.037033;1.000000;1.000000;1.000000;0.036350;0.002664
17;0.019480;1.000000;0.025990;1.000000;0.039727;1.000000;1.000000;1.000000;0.038896;0.003229
18;0.013015;1.000000;0.023767;1.000000;0.037911;1.000000;1.000000;1.000000;0.037145;0.002978
19;0.012375;1.000000;0.022059;1.000000;0.036515;1.000000;1.000000;1.000000;0.035796;0.002796
20;0.012639;1.000000;0.021091;1.000000;0.033244;1.000000;1.000000;1.000000;0.032656;0.002293
21;0.011179;1.000000;0.019202;1.000000;0.029948;1.000000;1.000000;1.000000;0.029472;0.001860
22;0.009630;1.000000;0.018762;1.000000;0.032046;1.000000;1.000000;1.000000;0.031487;0.002181
23;0.010911;1.000000;0.016902;1.000000;0.034818;1.000000;1.000000;1.000000;0.034118;0.002721
24;0.010062;1.000000;0.016516;1.000000;0.034078;1.000000;1.000000;1.000000;0.033407;0.002611
25;0.010070;1.000000;0.015915;1.000000;0.029307;1.000000;1.000000;1.000000;0.028828;0.001874
26;0.018877;1.000000;0.014107;1.000000;0.019864;1.000000;1.000000;1.000000;0.019660;0.000804
27;0.006628;1.000000;0.013244;1.000000;0.025083;1.000000;1.000000;1.000000;0.024728;0.001392
28;0.012307;1.000000;0.010882;1.000000;0.022366;1.000000;1.000000;1.000000;0.022075;0.001140
29;0.007167;1.000000;0.011167;1.000000;0.021484;1.000000;1.000000;1.000000;0.021221;0.001031
30;0.005726;1.000000;0.010600;1.000000;0.020471;1.000000;1.000000;1.000000;0.020233;0.000939
31;0.006319;1.000000;0.010302;1.000000;0.019883;1.000000;1.000000;1.000000;0.019658;0.000885
32;0.008275;1.000000;0.009700;1.000000;0.020170;1.000000;1.000000;1.000000;0.019933;0.000932
