# dataset: PROTEINS
# type: GAT
# train_mode: P
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.693338;0.592801;0.662968;0.669643;0.662067;0.625000;0.596939;0.496212;0.086910;0.471907
1;0.666132;0.647919;0.670818;0.660714;0.671285;0.660714;0.616327;0.623556;0.126250;0.475610
2;0.652078;0.643420;0.645967;0.714286;0.657279;0.642857;0.615986;0.590777;0.097176;0.464357
3;0.648088;0.650169;0.651502;0.669643;0.649840;0.642857;0.649660;0.623377;0.083917;0.458292
4;0.652831;0.660292;0.641978;0.678571;0.645967;0.633929;0.634354;0.539796;0.050988;0.455134
5;0.658219;0.644544;0.637444;0.669643;0.641541;0.625000;0.638435;0.544499;0.045450;0.450623
6;0.648995;0.654668;0.635382;0.678571;0.651839;0.642857;0.610544;0.590777;0.063679;0.457731
7;0.645630;0.650169;0.640530;0.651786;0.720174;0.616071;0.626871;0.620735;0.103472;0.482279
8;0.646720;0.654668;0.634611;0.678571;0.638502;0.651786;0.644898;0.581513;0.074872;0.443369
9;0.644430;0.649044;0.633326;0.669643;0.634914;0.660714;0.664966;0.604167;0.080842;0.441886
10;0.662229;0.645669;0.625935;0.705357;0.641543;0.642857;0.634694;0.575163;0.062258;0.449382
11;0.647791;0.652418;0.627846;0.687500;0.637142;0.651786;0.651020;0.581513;0.060407;0.444626
12;0.642723;0.659168;0.626857;0.705357;0.646688;0.625000;0.638776;0.562500;0.042493;0.451730
13;0.640780;0.665917;0.635674;0.696429;0.637275;0.633929;0.665646;0.596791;0.062297;0.445446
14;0.638047;0.647919;0.616581;0.687500;0.641325;0.633929;0.619728;0.550408;0.079404;0.449990
15;0.635920;0.665917;0.622775;0.696429;0.643441;0.642857;0.613946;0.566190;0.044974;0.452296
16;0.637801;0.661417;0.623129;0.687500;0.627465;0.633929;0.663946;0.590742;0.098216;0.437294
17;0.640558;0.669291;0.630275;0.723214;0.644291;0.633929;0.627211;0.576820;0.054896;0.454983
18;0.645306;0.662542;0.616911;0.714286;0.629236;0.633929;0.658844;0.576820;0.072916;0.439184
19;0.627842;0.663667;0.621366;0.687500;0.629507;0.633929;0.652721;0.576820;0.088165;0.441671
20;0.630937;0.669291;0.620448;0.696429;0.639926;0.642857;0.632653;0.566190;0.043045;0.447914
21;0.645804;0.644544;0.633024;0.705357;0.643536;0.642857;0.657483;0.583333;0.067436;0.451134
