# dataset: PROTEINS
# type: GAT
# train_mode: S
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.648931;0.662542;0.645658;0.678571;0.647064;0.669643;0.744186;0.589703;0.105360;0.449222
1;0.607129;0.682790;0.538767;0.803571;0.595010;0.678571;0.752275;0.662124;0.057180;0.401862
2;0.581912;0.705287;0.530723;0.758929;0.706151;0.616071;0.700708;0.615245;0.064687;0.495321
3;0.553099;0.735658;0.521942;0.732143;0.700680;0.660714;0.686552;0.662075;0.082023;0.467828
4;0.567096;0.713161;0.819394;0.553571;1.183695;0.455357;0.620492;0.372271;0.321032;0.728588
5;0.568463;0.709786;0.469973;0.776786;0.596813;0.696429;0.761712;0.700381;0.039570;0.397622
6;0.551988;0.740157;0.670575;0.633929;0.914068;0.562500;0.595214;0.567871;0.171157;0.607396
7;0.551659;0.732283;0.664623;0.633929;0.871755;0.535714;0.607010;0.533641;0.204119;0.596092
8;0.550768;0.734533;0.874974;0.669643;1.187066;0.500000;0.583081;0.467594;0.266494;0.702939
9;0.549945;0.727784;0.622757;0.705357;0.854285;0.580357;0.669700;0.572599;0.153427;0.552333
10;0.536037;0.748031;0.737524;0.607143;1.028430;0.526786;0.670037;0.498559;0.229796;0.648952
11;0.531756;0.735658;0.664664;0.660714;0.947705;0.562500;0.632626;0.561558;0.187441;0.591552
12;0.556647;0.725534;0.875212;0.616071;1.283257;0.473214;0.546680;0.409411;0.311271;0.771524
