# dataset: PROTEINS
# type: GAT
# train_mode: T
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.268952;0.920135;0.594868;0.616071;0.706319;0.437500;0.649100;0.413193;0.223979;0.508396
1;0.064987;0.995501;0.090385;1.000000;0.077933;1.000000;1.000000;1.000000;0.074323;0.022504
2;0.027294;1.000000;0.046584;1.000000;0.038504;1.000000;1.000000;1.000000;0.037564;0.005454
3;0.018576;1.000000;0.042888;1.000000;0.035118;1.000000;1.000000;1.000000;0.035487;0.007529
4;0.013386;1.000000;0.046786;1.000000;0.038167;1.000000;1.000000;1.000000;0.034137;0.005624
5;0.011882;1.000000;0.027938;1.000000;0.022419;1.000000;1.000000;1.000000;0.022776;0.003264
6;0.008180;1.000000;0.015250;1.000000;0.012517;1.000000;1.000000;1.000000;0.013044;0.000990
7;0.006010;1.000000;0.020083;1.000000;0.015968;1.000000;1.000000;1.000000;0.015847;0.001363
8;0.005021;1.000000;0.032482;1.000000;0.027003;1.000000;1.000000;1.000000;0.024082;0.003390
9;0.004559;1.000000;0.013651;1.000000;0.010748;1.000000;1.000000;1.000000;0.010927;0.000752
10;0.003720;1.000000;0.011075;1.000000;0.008643;1.000000;1.000000;1.000000;0.008665;0.000454
11;0.003762;1.000000;0.015534;1.000000;0.012397;1.000000;1.000000;1.000000;0.013229;0.001501
12;0.002867;1.000000;0.022150;1.000000;0.018022;1.000000;1.000000;1.000000;0.017380;0.002155
13;0.002658;1.000000;0.026695;1.000000;0.022205;1.000000;1.000000;1.000000;0.017969;0.002164
14;0.002119;1.000000;0.013342;1.000000;0.010674;1.000000;1.000000;1.000000;0.010830;0.000882
15;0.002450;1.000000;0.005927;1.000000;0.004667;1.000000;1.000000;1.000000;0.005021;0.000197
16;0.002103;1.000000;0.007156;1.000000;0.005656;1.000000;1.000000;1.000000;0.006071;0.000307
17;0.001405;1.000000;0.007520;1.000000;0.005892;1.000000;1.000000;1.000000;0.005399;0.000170
18;0.001321;1.000000;0.005832;1.000000;0.004690;1.000000;1.000000;1.000000;0.005063;0.000216
19;0.001074;1.000000;0.006679;1.000000;0.005253;1.000000;1.000000;1.000000;0.005203;0.000182
20;0.001607;1.000000;0.093347;1.000000;0.112327;0.928571;1.000000;0.927320;0.057125;0.043176
21;0.001314;1.000000;0.024476;1.000000;0.023695;1.000000;1.000000;1.000000;0.018500;0.002622
22;0.001018;1.000000;0.005111;1.000000;0.004010;1.000000;1.000000;1.000000;0.004347;0.000162
23;0.001272;1.000000;0.004549;1.000000;0.003514;1.000000;1.000000;1.000000;0.003822;0.000129
24;0.001280;1.000000;0.010235;1.000000;0.007909;1.000000;1.000000;1.000000;0.008484;0.000694
25;0.000876;1.000000;0.005635;1.000000;0.004304;1.000000;1.000000;1.000000;0.004469;0.000164
26;0.000702;1.000000;0.004181;1.000000;0.003234;1.000000;1.000000;1.000000;0.003471;0.000101
27;0.000806;1.000000;0.008983;1.000000;0.006840;1.000000;1.000000;1.000000;0.007168;0.000461
28;0.000884;1.000000;0.004672;1.000000;0.003580;1.000000;1.000000;1.000000;0.003887;0.000145
29;0.000636;1.000000;0.011673;1.000000;0.009797;1.000000;1.000000;1.000000;0.007349;0.000470
30;0.000651;1.000000;0.006245;1.000000;0.004593;1.000000;1.000000;1.000000;0.005048;0.000256
31;0.000561;1.000000;0.004320;1.000000;0.003130;1.000000;1.000000;1.000000;0.003066;0.000065
32;0.000522;1.000000;0.002823;1.000000;0.002088;1.000000;1.000000;1.000000;0.002225;0.000041
33;0.000608;1.000000;0.012114;1.000000;0.009919;1.000000;1.000000;1.000000;0.008549;0.000549
34;0.000432;1.000000;0.002275;1.000000;0.001686;1.000000;1.000000;1.000000;0.001775;0.000023
35;0.049839;0.985377;0.007826;1.000000;0.006160;1.000000;1.000000;1.000000;0.006298;0.000193
36;0.012347;0.998875;0.109206;1.000000;0.083428;1.000000;1.000000;1.000000;0.076180;0.035940
37;0.001410;1.000000;0.044551;1.000000;0.038676;1.000000;1.000000;1.000000;0.038313;0.010154
38;0.001012;1.000000;0.102125;1.000000;0.088695;1.000000;1.000000;1.000000;0.080345;0.043191
39;0.000998;1.000000;0.012799;1.000000;0.011050;1.000000;1.000000;1.000000;0.011599;0.001049
40;0.000560;1.000000;0.095474;1.000000;0.081036;1.000000;1.000000;1.000000;0.074602;0.037850
41;0.000935;1.000000;0.025722;1.000000;0.022272;1.000000;1.000000;1.000000;0.022883;0.003931
