# dataset: ogbg-molhiv
# type: GAT
# train_mode: P
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.169651;0.961643;0.282110;0.963773;0.282998;0.966448;0.000000;0.949958;0.179103;0.129101
1;0.153087;0.964804;0.241399;0.963773;0.243016;0.966448;0.000000;0.949958;0.140624;0.104498
2;0.152494;0.964834;0.211622;0.963773;0.212872;0.966448;0.000000;0.949958;0.109194;0.088100
3;0.150957;0.964743;0.224799;0.963773;0.225632;0.966448;0.000000;0.949958;0.123509;0.094475
4;0.151277;0.964804;0.162036;0.963773;0.162472;0.966448;0.000000;0.949958;0.045706;0.067702
5;0.150844;0.964834;0.173152;0.963773;0.173413;0.966448;0.000000;0.949958;0.061799;0.071093
6;0.149652;0.964834;0.174502;0.963773;0.176451;0.966448;0.000000;0.949958;0.065460;0.072616
7;0.151084;0.964773;0.167110;0.963773;0.168064;0.966448;0.000000;0.949958;0.053181;0.069300
8;0.150174;0.964834;0.168164;0.963773;0.168857;0.966448;0.000000;0.949958;0.053811;0.069640
9;0.150369;0.964804;0.156421;0.963773;0.157462;0.966448;0.000000;0.949958;0.038284;0.066134
10;0.149453;0.964834;0.165170;0.963773;0.166721;0.966448;0.000000;0.949958;0.051011;0.068826
11;0.148768;0.964834;0.156863;0.963773;0.157817;0.966448;0.000000;0.949958;0.038639;0.066253
12;0.149157;0.964834;0.154257;0.963773;0.155346;0.966448;0.000000;0.949958;0.034977;0.065592
13;0.149239;0.964834;0.146741;0.963773;0.147640;0.966448;0.000000;0.949958;0.015060;0.064096
14;0.148685;0.964834;0.154296;0.963773;0.155594;0.966448;0.000000;0.949958;0.034317;0.065671
15;0.148729;0.964834;0.147419;0.963773;0.148152;0.966448;0.000000;0.949958;0.017143;0.064208
16;0.148469;0.964864;0.148458;0.963773;0.149831;0.966448;0.000000;0.949958;0.022442;0.064444
17;0.148887;0.964834;0.146691;0.963773;0.147974;0.966448;0.000000;0.949958;0.015702;0.064193
18;0.149157;0.964864;0.146007;0.963773;0.147139;0.966448;0.000000;0.949958;0.013612;0.064059
19;0.149238;0.964804;0.146199;0.963773;0.147500;0.966448;0.000000;0.949958;0.015468;0.064066
20;0.148579;0.964804;0.145195;0.963773;0.146606;0.966448;0.000000;0.949958;0.008376;0.064078
21;0.149001;0.964834;0.152758;0.963773;0.154016;0.966448;0.000000;0.949958;0.030223;0.065286
22;0.149583;0.964804;0.145446;0.963773;0.146640;0.966448;0.000000;0.949958;0.012001;0.064078
23;0.148599;0.964864;0.148040;0.963773;0.149266;0.966448;0.000000;0.949958;0.020744;0.064370
24;0.149036;0.964804;0.148259;0.963773;0.149249;0.966448;0.000000;0.949958;0.020272;0.064396
25;0.149024;0.964834;0.145313;0.963773;0.146439;0.966448;0.000000;0.949958;0.008665;0.064053
26;0.148703;0.964864;0.146623;0.963773;0.147617;0.966448;0.000000;0.949958;0.014696;0.064131
27;0.148912;0.964804;0.146957;0.963773;0.148025;0.966448;0.000000;0.949958;0.016650;0.064190
