# dataset: ogbg-molhiv
# type: GAT
# train_mode: S
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.192549;0.959120;0.175841;0.958668;0.161008;0.965475;0.000000;0.948516;0.018617;0.066987
1;0.146464;0.965624;0.173045;0.958668;0.150963;0.965475;0.000000;0.948516;0.014323;0.065423
2;0.145476;0.965624;0.188969;0.958668;0.169990;0.965475;0.000000;0.948516;0.023316;0.066633
3;0.145692;0.965624;0.197095;0.958668;0.179494;0.965475;0.000000;0.948516;0.023109;0.066131
4;0.144477;0.965624;0.182154;0.958668;0.164214;0.965475;0.000000;0.948516;0.019011;0.064515
5;0.144995;0.965624;0.170628;0.958668;0.152846;0.965475;0.000000;0.948516;0.012279;0.065862
6;0.143243;0.965624;0.181800;0.958668;0.160841;0.965475;0.000000;0.948516;0.016892;0.066103
7;0.143879;0.965624;0.167008;0.958668;0.147922;0.965475;0.000000;0.948516;0.016349;0.064419
8;0.142838;0.965624;0.167173;0.958668;0.149817;0.965475;0.000000;0.948516;0.017314;0.064394
9;0.143359;0.965624;0.163439;0.958668;0.147696;0.965475;0.000000;0.948516;0.013386;0.064254
10;0.143039;0.965624;0.165458;0.958668;0.149027;0.965475;0.000000;0.948516;0.014040;0.064172
11;0.143038;0.965624;0.161271;0.958668;0.146346;0.965475;0.000000;0.948516;0.009417;0.064484
12;0.142864;0.965624;0.169884;0.958668;0.156128;0.965475;0.000000;0.948516;0.018298;0.064689
13;0.141535;0.965624;0.162145;0.958668;0.147130;0.965475;0.000000;0.948516;0.008748;0.064107
14;0.141393;0.965624;0.157766;0.958668;0.144759;0.965475;0.000000;0.948516;0.009233;0.063993
15;0.142412;0.965624;0.155643;0.958668;0.145653;0.965475;0.000000;0.948516;0.005944;0.064352
16;0.142126;0.965624;0.157988;0.958668;0.144835;0.965475;0.000000;0.948516;0.009633;0.063616
17;0.141690;0.965624;0.162422;0.958668;0.152776;0.965475;0.000000;0.948516;0.029648;0.065940
18;0.141214;0.965624;0.158104;0.958668;0.144212;0.965475;0.000000;0.948516;0.012146;0.063900
19;0.141674;0.965624;0.159045;0.958668;0.146187;0.965475;0.000000;0.948516;0.010636;0.064446
20;0.141241;0.965624;0.155951;0.958668;0.143850;0.965475;0.000000;0.948516;0.006891;0.063909
21;0.141969;0.965624;0.155631;0.958668;0.144709;0.965475;0.000000;0.948516;0.004912;0.063652
22;0.141682;0.965624;0.156329;0.958668;0.145717;0.965475;0.000000;0.948516;0.020994;0.063983
23;0.140879;0.965624;0.158365;0.958668;0.144833;0.965475;0.000000;0.948516;0.007283;0.064480
24;0.140985;0.965624;0.161562;0.958668;0.149714;0.965475;0.000000;0.948516;0.010501;0.065575
25;0.141508;0.965624;0.156635;0.958668;0.145690;0.965475;0.000000;0.948516;0.018000;0.064057
26;0.141970;0.965624;0.157021;0.958668;0.144471;0.965475;0.000000;0.948516;0.007826;0.064102
27;0.141524;0.965624;0.156821;0.958668;0.143081;0.965475;0.000000;0.948516;0.009952;0.063533
28;0.141164;0.965624;0.162588;0.958668;0.152207;0.965475;0.000000;0.948516;0.016740;0.065882
