# dataset: ogbg-molhiv
# type: GAT
# train_mode: T
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.193583;0.991368;1.307673;0.097253;1.193143;0.033309;0.000000;0.002147;0.674697;0.957991
1;0.020082;1.000000;2.759692;0.038172;2.532650;0.033309;0.000000;0.002147;0.887370;1.633160
2;0.007498;1.000000;3.650113;0.038172;3.471958;0.033309;0.000000;0.002147;0.936597;1.816634
3;0.003842;1.000000;4.417058;0.038172;4.262333;0.033309;0.000000;0.002147;0.953452;1.881311
4;0.002511;1.000000;3.047693;0.038172;2.923083;0.033309;0.000000;0.002147;0.915796;1.738490
5;0.001855;1.000000;2.106485;0.038172;2.003019;0.033309;0.000000;0.002147;0.837829;1.463286
6;0.001563;1.000000;1.177328;0.220277;1.069095;0.097982;0.000000;0.123526;0.635048;0.863593
7;0.001419;1.000000;0.401645;0.744955;0.295385;0.808169;0.000000;0.867611;0.225324;0.185322
8;0.001251;1.000000;0.338435;0.740822;0.230981;0.917335;0.000000;0.930930;0.169397;0.139819
9;0.001347;1.000000;0.328239;0.975201;0.234899;0.974471;0.000000;0.966707;0.026373;0.051117
10;0.001111;1.000000;0.255637;0.970581;0.194033;0.971797;0.000000;0.961646;0.027540;0.052530
11;0.001120;1.000000;0.411529;0.961828;0.338758;0.969852;0.000000;0.957622;0.030690;0.058936
12;0.001086;1.000000;0.312019;0.970581;0.258948;0.971797;0.000000;0.961646;0.027418;0.054802
13;0.001036;1.000000;0.516745;0.967420;0.451883;0.969852;0.000000;0.957622;0.030353;0.060095
14;0.001392;0.999939;0.164081;0.990518;0.089338;0.988816;0.000000;0.987720;0.010491;0.019674
15;0.000942;1.000000;0.508573;0.961828;0.404732;0.966691;0.000000;0.950319;0.033262;0.066430
16;0.000970;1.000000;0.301088;0.972526;0.226469;0.971797;0.000000;0.961646;0.027057;0.053306
17;0.000944;1.000000;0.449344;0.961828;0.358560;0.966691;0.000000;0.950319;0.033270;0.066465
18;0.001098;0.999970;4.796809;0.038172;4.647197;0.033309;0.000000;0.002147;0.957354;1.896500
19;0.000872;1.000000;0.535380;0.961828;0.429117;0.966691;0.000000;0.950319;0.033308;0.066615
20;0.000915;1.000000;0.454101;0.961828;0.364438;0.966691;0.000000;0.950319;0.033303;0.066614
21;0.000907;1.000000;0.430727;0.961828;0.346080;0.966691;0.000000;0.950319;0.033297;0.066604
