# dataset: COLLAB
# type: GCN
# train_mode: P
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;1.656155;0.518000;5.869204;0.564000;6.443204;0.568000;0.000000;0.462994;0.155372;0.597308
1;1.263407;0.548500;0.878512;0.590000;0.878695;0.570000;0.000000;0.464465;0.175770;0.559968
2;1.119998;0.585750;0.761609;0.636000;0.760518;0.640000;0.000000;0.574850;0.126901;0.469559
3;0.923760;0.600750;0.764021;0.632000;0.771185;0.622000;0.000000;0.566011;0.102651;0.478334
4;0.900976;0.611500;0.748772;0.620000;0.736267;0.634000;0.000000;0.570894;0.056527;0.460310
5;0.912996;0.621000;0.725396;0.654000;0.724775;0.662000;0.000000;0.636845;0.108157;0.455931
6;0.912160;0.632250;0.778142;0.616000;0.768439;0.608000;0.000000;0.530378;0.108323;0.492681
7;0.920149;0.632000;0.769301;0.610000;0.738102;0.636000;0.000000;0.591110;0.049702;0.466474
8;0.842603;0.644250;0.696223;0.674000;0.687303;0.694000;0.000000;0.681150;0.087045;0.426071
9;0.844254;0.654500;0.734773;0.660000;0.702960;0.668000;0.000000;0.652114;0.049376;0.433868
10;0.901195;0.652500;0.710747;0.670000;0.699446;0.698000;0.000000;0.695303;0.105154;0.435383
11;0.787157;0.656500;0.703232;0.660000;0.685270;0.680000;0.000000;0.649409;0.078941;0.425050
12;0.845210;0.648000;0.719978;0.668000;0.700035;0.680000;0.000000;0.670035;0.049751;0.431102
13;0.773585;0.657500;0.683097;0.692000;0.669206;0.692000;0.000000;0.691062;0.093608;0.412596
14;0.775370;0.660750;0.718671;0.654000;0.696124;0.658000;0.000000;0.637617;0.038837;0.436238
15;0.773888;0.661750;0.681851;0.688000;0.673227;0.702000;0.000000;0.704127;0.076413;0.414002
16;0.726750;0.666500;0.682842;0.690000;0.665332;0.706000;0.000000;0.691395;0.050706;0.406468
17;0.743991;0.664500;0.687234;0.686000;0.675734;0.696000;0.000000;0.690221;0.091210;0.417844
18;0.719891;0.669000;0.677481;0.694000;0.664866;0.696000;0.000000;0.687541;0.071595;0.408076
19;0.721391;0.663750;0.688804;0.678000;0.673602;0.696000;0.000000;0.674379;0.049682;0.412669
20;0.778661;0.658000;2.749291;0.586000;2.961347;0.612000;0.000000;0.574704;0.112482;0.549091
21;0.742263;0.664000;0.697167;0.696000;0.673204;0.700000;0.000000;0.697263;0.095283;0.414209
22;0.710802;0.667250;0.678105;0.692000;0.663742;0.690000;0.000000;0.688686;0.083412;0.407576
23;0.698336;0.672500;0.688479;0.686000;0.669544;0.690000;0.000000;0.677631;0.042102;0.413295
24;0.720422;0.673000;0.683292;0.682000;0.664227;0.686000;0.000000;0.682861;0.067281;0.409240
25;0.706200;0.665250;0.700467;0.674000;0.677879;0.698000;0.000000;0.687640;0.044905;0.418195
