# dataset: COLLAB
# type: GCN
# train_mode: S
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.885721;0.618750;0.847397;0.642000;0.833854;0.616000;0.000000;0.540842;0.125743;0.497507
1;0.809322;0.636750;0.761374;0.650000;0.746832;0.622000;0.000000;0.562125;0.073860;0.463539
2;0.753357;0.658750;0.716218;0.708000;0.699059;0.698000;0.000000;0.684065;0.072048;0.431613
3;0.722988;0.673000;0.717095;0.688000;0.708021;0.690000;0.000000;0.689342;0.059554;0.430705
4;0.718790;0.658000;0.713526;0.696000;0.704439;0.674000;0.000000;0.662431;0.064193;0.435130
5;0.703626;0.675750;0.725165;0.668000;0.714689;0.658000;0.000000;0.650018;0.040598;0.444744
6;0.700987;0.675500;0.710604;0.698000;0.690616;0.694000;0.000000;0.680310;0.091373;0.432146
7;0.687622;0.679500;0.689533;0.674000;0.685870;0.668000;0.000000;0.638874;0.064606;0.429355
8;0.696611;0.678250;0.685286;0.680000;0.678835;0.678000;0.000000;0.653662;0.063778;0.423173
9;0.685489;0.683000;0.697270;0.716000;0.685796;0.710000;0.000000;0.706459;0.092449;0.424451
10;0.686520;0.680250;0.719680;0.662000;0.698032;0.662000;0.000000;0.647342;0.048730;0.440666
11;0.688260;0.689750;0.698937;0.680000;0.678382;0.674000;0.000000;0.647429;0.051366;0.425121
12;0.687498;0.677750;0.667852;0.700000;0.661241;0.694000;0.000000;0.685522;0.059214;0.414473
13;0.671311;0.688500;0.690189;0.682000;0.675945;0.688000;0.000000;0.672026;0.055890;0.422434
14;0.678647;0.679750;0.654709;0.704000;0.650927;0.692000;0.000000;0.677204;0.061310;0.407050
15;0.679096;0.685500;0.705575;0.682000;0.692950;0.688000;0.000000;0.690712;0.092029;0.433100
16;0.676901;0.685250;0.699110;0.670000;0.679750;0.682000;0.000000;0.678620;0.062322;0.421567
17;0.671840;0.685500;0.657698;0.722000;0.651348;0.706000;0.000000;0.697626;0.049068;0.405520
18;0.665493;0.690250;0.656922;0.698000;0.637369;0.706000;0.000000;0.695538;0.045525;0.401213
19;0.674698;0.681750;0.681087;0.702000;0.665968;0.680000;0.000000;0.665913;0.073756;0.415108
20;0.661993;0.689250;0.661046;0.704000;0.648020;0.704000;0.000000;0.697557;0.066407;0.408264
21;0.662777;0.697500;0.668877;0.702000;0.664134;0.676000;0.000000;0.663987;0.052699;0.412574
