# dataset: COLLAB
# type: GCN
# train_mode: T
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.252325;0.935500;0.237390;0.954000;0.179008;0.978000;0.000000;0.977543;0.084929;0.084720
1;0.023666;0.999000;0.247719;0.954000;0.099960;0.978000;0.000000;0.977543;0.020045;0.045823
2;0.015707;0.999000;0.310685;0.954000;0.168818;0.952000;0.000000;0.949347;0.038651;0.072481
3;0.012960;0.997750;0.311562;0.950000;0.321708;0.952000;0.000000;0.949347;0.048400;0.095575
4;0.036228;0.992500;0.102563;0.982000;0.104832;0.984000;0.000000;0.983769;0.022292;0.033940
5;0.006097;0.999250;0.334883;0.954000;0.157129;0.978000;0.000000;0.977543;0.032475;0.049005
6;0.003190;1.000000;0.521500;0.882000;0.306903;0.934000;0.000000;0.935500;0.058386;0.125891
7;0.010126;0.997750;0.290452;0.860000;0.215267;0.924000;0.000000;0.922976;0.053415;0.121815
8;0.046490;0.983500;0.481950;0.802000;0.343211;0.920000;0.000000;0.918703;0.113173;0.178888
9;0.097207;0.973750;0.945496;0.858000;0.950343;0.846000;0.000000;0.851806;0.137972;0.259548
10;0.009957;0.997000;1.093202;0.888000;1.182443;0.860000;0.000000;0.864062;0.142619;0.280443
11;0.001499;1.000000;1.051924;0.864000;1.145466;0.868000;0.000000;0.870827;0.131220;0.263744
