# dataset: IMDB-BINARY
# type: GCN
# train_mode: P
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;1.579593;0.503750;0.948265;0.470000;1.203526;0.510000;0.528400;0.385580;0.233125;0.634824
1;1.018503;0.566250;0.788277;0.480000;0.900364;0.530000;0.563200;0.396740;0.153376;0.591488
2;0.908087;0.550000;0.968896;0.550000;1.040966;0.560000;0.537400;0.548440;0.106925;0.527627
3;0.900270;0.526250;0.953849;0.420000;1.088730;0.490000;0.510000;0.374310;0.169860;0.596415
4;0.864775;0.555000;0.775491;0.560000;0.793791;0.580000;0.541600;0.571603;0.092059;0.524552
5;0.725465;0.595000;0.695369;0.450000;0.703504;0.530000;0.538400;0.410658;0.089206;0.515524
6;0.801335;0.587500;0.817773;0.400000;0.935927;0.480000;0.462000;0.368626;0.177422;0.634450
7;0.758322;0.570000;0.779539;0.450000;0.809905;0.530000;0.557800;0.455451;0.104057;0.523244
8;0.770503;0.541250;0.697154;0.590000;0.678196;0.570000;0.580800;0.550162;0.067000;0.471789
9;0.761960;0.570000;0.681035;0.590000;0.671554;0.580000;0.564800;0.562500;0.039946;0.475116
10;0.681897;0.591250;0.692499;0.460000;0.704420;0.550000;0.565800;0.487179;0.069081;0.506528
11;0.717224;0.556250;0.689356;0.580000;0.672393;0.560000;0.595000;0.557166;0.033895;0.470821
12;0.759145;0.580000;0.677394;0.600000;0.674472;0.560000;0.586800;0.502488;0.103630;0.482669
13;0.709059;0.555000;0.730251;0.580000;0.755477;0.570000;0.557800;0.562608;0.059926;0.518556
14;0.690508;0.618750;0.663131;0.610000;0.649841;0.580000;0.629000;0.579327;0.027978;0.453953
15;0.714142;0.562500;0.674894;0.490000;0.682192;0.550000;0.575600;0.435737;0.065993;0.493072
16;0.706476;0.605000;0.670137;0.510000;0.684561;0.520000;0.563600;0.472527;0.110669;0.499065
17;0.712184;0.568750;0.705820;0.460000;0.750266;0.500000;0.476800;0.379960;0.122230;0.564091
18;0.714730;0.575000;0.664296;0.610000;0.655090;0.580000;0.614800;0.579327;0.042534;0.462389
19;0.738234;0.596250;0.801348;0.520000;0.863998;0.480000;0.535600;0.442299;0.132286;0.543040
20;0.790284;0.588750;0.772855;0.480000;0.813396;0.540000;0.547200;0.494505;0.099537;0.528911
21;0.663430;0.642500;0.710952;0.550000;0.730862;0.520000;0.547000;0.479167;0.137636;0.530672
