# dataset: IMDB-BINARY
# type: GCN
# train_mode: S
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.718670;0.570000;0.702515;0.600000;0.669443;0.570000;0.603223;0.512780;0.034001;0.486734
1;0.712699;0.582500;0.667722;0.620000;0.646086;0.520000;0.595879;0.514000;0.065116;0.481928
2;0.696442;0.618750;0.643082;0.610000;0.677935;0.570000;0.538760;0.570569;0.094565;0.508573
3;0.686829;0.638750;0.633063;0.630000;0.673738;0.530000;0.553244;0.522772;0.140133;0.514193
4;0.689183;0.621250;0.623201;0.640000;0.681526;0.530000;0.535292;0.519728;0.087009;0.510147
5;0.686337;0.633750;0.605409;0.680000;0.666935;0.530000;0.559772;0.522772;0.137526;0.513991
6;0.686793;0.622500;0.620205;0.660000;0.655767;0.540000;0.565279;0.531492;0.101976;0.500703
7;0.681088;0.617500;0.622749;0.660000;0.670306;0.470000;0.548960;0.464776;0.133078;0.506386
8;0.678084;0.623750;0.625247;0.640000;0.662893;0.510000;0.558548;0.507427;0.098980;0.500174
9;0.679274;0.613750;0.607225;0.660000;0.666981;0.580000;0.557936;0.578621;0.140407;0.504081
10;0.656055;0.653750;0.589181;0.690000;0.676202;0.540000;0.534884;0.528285;0.126642;0.515737
11;0.673906;0.617500;0.624389;0.660000;0.669072;0.610000;0.591391;0.610516;0.105530;0.502250
12;0.676213;0.621250;0.617962;0.670000;0.665890;0.570000;0.582619;0.567742;0.069723;0.504814
13;0.667339;0.643750;0.613608;0.650000;0.651736;0.540000;0.588127;0.534250;0.117154;0.491566
14;0.667123;0.633750;0.605141;0.730000;0.670194;0.550000;0.560384;0.540165;0.049156;0.500990
15;0.671914;0.632500;0.618709;0.630000;0.683944;0.590000;0.587515;0.590542;0.148466;0.514935
16;0.663016;0.645000;0.595040;0.670000;0.661215;0.540000;0.567931;0.531492;0.100691;0.497157
17;0.664769;0.630000;0.610146;0.670000;0.683901;0.590000;0.569155;0.591370;0.095745;0.508812
