# dataset: IMDB-BINARY
# type: GCN
# train_mode: T
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.281017;0.927500;0.539343;0.650000;0.494797;0.980000;1.000000;0.979951;0.330801;0.249398
1;0.048109;1.000000;0.255498;0.850000;0.153851;0.980000;1.000000;0.979951;0.061772;0.018883
2;0.027961;1.000000;0.383474;0.850000;0.292739;0.980000;1.000000;0.979951;0.029722;0.032349
3;0.016443;1.000000;0.365764;0.850000;0.195528;0.980000;1.000000;0.979951;0.024248;0.024286
4;0.013024;1.000000;0.443501;0.850000;0.253666;0.980000;1.000000;0.979951;0.023139;0.029871
5;0.010079;1.000000;0.288497;0.850000;0.042006;1.000000;1.000000;1.000000;0.009866;0.002713
6;0.007957;1.000000;0.298816;0.850000;0.008082;1.000000;1.000000;1.000000;0.004186;0.000083
7;0.008302;1.000000;0.352046;0.850000;0.031352;1.000000;1.000000;1.000000;0.006857;0.001697
8;0.005614;1.000000;0.135321;0.850000;0.002362;1.000000;1.000000;1.000000;0.002107;0.000009
9;0.004276;1.000000;0.405928;0.850000;0.031529;1.000000;1.000000;1.000000;0.006067;0.001816
10;0.003590;1.000000;0.507216;0.850000;0.312991;0.980000;1.000000;0.979951;0.017070;0.033671
11;0.002807;1.000000;0.655722;0.650000;0.486288;0.980000;1.000000;0.979951;0.018141;0.038368
12;0.002826;1.000000;0.510367;0.850000;0.221431;0.980000;1.000000;0.979951;0.017667;0.027456
13;0.003320;1.000000;0.535081;0.850000;0.216403;0.980000;1.000000;0.979951;0.017487;0.026995
14;0.002417;1.000000;0.447804;0.850000;0.017987;1.000000;1.000000;1.000000;0.003339;0.000661
15;0.002377;1.000000;0.552631;0.850000;0.302471;0.980000;1.000000;0.979951;0.017594;0.033170
