# dataset: IMDB-MULTI
# type: GCN
# train_mode: P
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;1.554667;0.354167;1.180814;0.446667;1.102832;0.340000;0.000000;0.306986;0.042033;0.666241
1;1.477845;0.370833;1.767984;0.420000;1.316059;0.420000;0.000000;0.407324;0.133199;0.721807
2;1.359061;0.348333;1.342693;0.373333;1.140950;0.333333;0.000000;0.177028;0.114185;0.682559
3;1.234775;0.368333;1.122671;0.453333;1.141765;0.380000;0.000000;0.337635;0.033633;0.669655
4;1.209904;0.375000;1.468524;0.446667;1.106682;0.386667;0.000000;0.314418;0.070253;0.671520
5;1.199239;0.358333;1.405010;0.480000;1.120730;0.386667;0.000000;0.336408;0.066144;0.681761
6;1.221980;0.365000;1.244065;0.440000;1.192635;0.326667;0.000000;0.283803;0.099162;0.686885
7;1.148419;0.383333;1.076812;0.480000;1.117768;0.386667;0.000000;0.373285;0.032601;0.673030
8;1.142743;0.375000;1.154712;0.440000;1.189402;0.406667;0.000000;0.346489;0.064764;0.679059
9;1.183159;0.379167;1.564725;0.500000;1.145179;0.360000;0.000000;0.359794;0.051408;0.686386
10;1.129541;0.371667;1.028566;0.466667;1.318880;0.333333;0.000000;0.271645;0.069123;0.701414
11;1.162448;0.380000;1.370007;0.393333;1.120674;0.346667;0.000000;0.249739;0.088401;0.685775
12;1.129982;0.385833;1.744039;0.466667;1.098034;0.393333;0.000000;0.326248;0.017887;0.658688
13;1.235543;0.354167;1.191565;0.506667;1.761424;0.360000;0.000000;0.357421;0.050320;0.672747
14;1.238220;0.372500;1.222708;0.386667;1.325403;0.333333;0.000000;0.215760;0.124420;0.684932
15;1.152340;0.380833;1.325804;0.460000;1.091480;0.413333;0.000000;0.379304;0.055885;0.661984
16;1.134926;0.385000;1.143769;0.446667;1.096284;0.340000;0.000000;0.321334;0.065930;0.665432
17;1.110590;0.398333;1.382800;0.446667;1.179426;0.333333;0.000000;0.301252;0.103114;0.689472
