# dataset: IMDB-MULTI
# type: GCN
# train_mode: S
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;1.126861;0.401667;1.111156;0.426667;1.087569;0.340000;0.000000;0.311858;0.046506;0.660654
1;1.116045;0.386667;1.103467;0.420000;1.140739;0.346667;0.000000;0.304070;0.122790;0.697707
2;1.105996;0.420000;1.095527;0.400000;1.116886;0.393333;0.000000;0.380562;0.058319;0.676841
3;1.112179;0.405833;1.084712;0.400000;1.102226;0.373333;0.000000;0.335156;0.109672;0.674760
4;1.102548;0.427500;1.096937;0.406667;1.080213;0.420000;0.000000;0.401896;0.048838;0.658478
5;1.098333;0.410000;1.116518;0.373333;1.085279;0.406667;0.000000;0.383894;0.074755;0.660084
6;1.107028;0.409167;1.098827;0.393333;1.089864;0.386667;0.000000;0.328967;0.059182;0.664654
7;1.100800;0.421667;1.109862;0.366667;1.100330;0.406667;0.000000;0.388255;0.082417;0.667308
8;1.100229;0.406667;1.078830;0.440000;1.088445;0.346667;0.000000;0.324060;0.080501;0.666028
9;1.099371;0.418333;1.102111;0.380000;1.087903;0.406667;0.000000;0.388255;0.070193;0.661947
10;1.101693;0.420833;1.083503;0.386667;1.075665;0.373333;0.000000;0.366189;0.040692;0.657281
11;1.083616;0.443333;1.091499;0.406667;1.104206;0.380000;0.000000;0.364135;0.076377;0.672355
12;1.100215;0.424167;1.089489;0.380000;1.080894;0.400000;0.000000;0.389813;0.040978;0.659260
13;1.084142;0.429167;1.087284;0.433333;1.100975;0.346667;0.000000;0.320005;0.132503;0.671635
14;1.092625;0.442500;1.090779;0.393333;1.075030;0.393333;0.000000;0.378724;0.048696;0.655878
15;1.085739;0.437500;1.103081;0.380000;1.083101;0.386667;0.000000;0.368171;0.051663;0.660004
