# dataset: IMDB-MULTI
# type: GCN
# train_mode: T
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.583756;0.771667;0.613175;0.786667;0.684981;0.746667;0.000000;0.740609;0.084564;0.401604
1;0.110760;0.995833;0.114399;0.960000;0.367594;0.860000;0.000000;0.845510;0.099831;0.191446
2;0.063131;0.996667;0.129628;0.960000;0.444255;0.860000;0.000000;0.845510;0.134295;0.224023
3;0.027805;0.998333;0.219047;0.906667;0.517399;0.860000;0.000000;0.845510;0.110096;0.251117
4;0.051603;0.985833;0.009075;1.000000;0.034926;1.000000;0.000000;1.000000;0.033857;0.008579
5;0.014011;1.000000;0.131628;0.953333;0.408336;0.886667;0.000000;0.882092;0.101602;0.214717
6;0.012070;0.999167;0.005672;1.000000;0.019359;1.000000;0.000000;1.000000;0.019413;0.003255
7;0.007014;1.000000;0.009701;1.000000;0.156556;0.886667;0.000000;0.882092;0.088195;0.128633
8;0.007416;1.000000;0.002819;1.000000;0.002922;1.000000;0.000000;1.000000;0.002938;0.000018
9;0.012410;0.998333;0.030168;0.960000;0.008455;1.000000;0.000000;1.000000;0.008681;0.000508
10;0.006613;0.999167;0.434692;0.846667;0.745663;0.860000;0.000000;0.845510;0.135985;0.272198
11;0.004465;1.000000;0.135610;0.960000;0.515437;0.926667;0.000000;0.923900;0.079228;0.148152
12;0.008661;0.998333;0.480925;0.846667;0.697429;0.860000;0.000000;0.845510;0.134212;0.265333
13;0.003266;1.000000;0.339379;0.846667;0.562986;0.860000;0.000000;0.845510;0.114007;0.200102
14;0.003933;0.999167;0.237004;0.960000;0.477795;0.926667;0.000000;0.923900;0.087713;0.155295
15;0.002475;1.000000;0.228434;0.960000;0.485192;0.926667;0.000000;0.923900;0.084984;0.151050
