# dataset: MUTAG
# type: GCN
# train_mode: P
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.624005;0.606667;0.714321;0.526316;0.528858;0.736842;0.728571;0.625199;0.121925;0.352792
1;0.503536;0.733333;0.704825;0.578947;0.509602;0.736842;0.714286;0.625199;0.231883;0.344007
2;0.437394;0.753333;0.673077;0.526316;0.513884;0.578947;0.714286;0.578947;0.244965;0.352605
3;0.419842;0.780000;0.666016;0.526316;0.530387;0.684211;0.714286;0.698381;0.274320;0.371343
4;0.411632;0.813333;0.675654;0.473684;0.541369;0.684211;0.714286;0.698381;0.248429;0.386875
5;0.404168;0.833333;0.696045;0.473684;0.539943;0.684211;0.714286;0.698381;0.297250;0.399000
6;0.421211;0.813333;0.714321;0.526316;0.537630;0.578947;0.728571;0.578947;0.246173;0.404678
7;0.392523;0.793333;0.734948;0.526316;0.543266;0.578947;0.728571;0.578947;0.258174;0.412963
8;0.415651;0.800000;0.735871;0.526316;0.561626;0.578947;0.728571;0.578947;0.264596;0.420953
9;0.369862;0.833333;0.717284;0.473684;0.568741;0.684211;0.728571;0.698381;0.204122;0.415585
10;0.368303;0.800000;0.723990;0.526316;0.555818;0.578947;0.728571;0.578947;0.263942;0.412390
