# dataset: MUTAG
# type: GCN
# train_mode: S
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.933706;0.346667;0.739431;0.421053;0.756330;0.210526;0.800000;0.073227;0.341381;0.562957
1;0.759773;0.500000;0.713331;0.421053;0.720475;0.210526;0.850000;0.073227;0.321116;0.527292
2;0.677900;0.720000;0.682472;0.842105;0.690521;0.631579;0.850000;0.661480;0.106501;0.497345
3;0.606291;0.740000;0.644111;0.789474;0.653071;0.842105;0.850000;0.854864;0.299426;0.459977
4;0.603774;0.713333;0.598730;0.789474;0.606739;0.842105;0.883333;0.854864;0.271090;0.414410
5;0.560157;0.760000;0.552779;0.789474;0.551675;0.789474;0.883333;0.803008;0.183414;0.362371
6;0.557428;0.720000;0.507046;0.789474;0.497375;0.842105;0.883333;0.848155;0.196456;0.315215
7;0.521317;0.740000;0.468451;0.842105;0.445456;0.842105;0.883333;0.848155;0.159297;0.275380
8;0.506520;0.726667;0.443883;0.894737;0.393751;0.842105;0.883333;0.848155;0.151839;0.241360
9;0.469636;0.780000;0.427375;0.842105;0.356887;0.789474;0.883333;0.789474;0.172457;0.222874
10;0.473960;0.766667;0.416396;0.842105;0.332679;0.736842;0.900000;0.722290;0.248793;0.212663
11;0.471541;0.766667;0.407749;0.842105;0.317701;0.789474;0.900000;0.789474;0.181986;0.207722
12;0.456124;0.793333;0.394747;0.842105;0.311077;0.789474;0.900000;0.789474;0.056861;0.205769
13;0.445085;0.813333;0.390019;0.842105;0.303162;0.736842;0.900000;0.722290;0.220519;0.203650
14;0.412218;0.800000;0.382141;0.842105;0.295198;0.736842;0.900000;0.722290;0.212996;0.201035
15;0.452637;0.800000;0.371315;0.842105;0.290131;0.736842;0.900000;0.722290;0.142994;0.197774
16;0.455137;0.800000;0.359130;0.842105;0.286666;0.789474;0.883333;0.789474;0.094241;0.195891
17;0.451776;0.746667;0.346055;0.842105;0.286211;0.789474;0.883333;0.789474;0.094955;0.194861
18;0.427538;0.773333;0.341719;0.842105;0.281459;0.789474;0.883333;0.789474;0.093645;0.190987
