# dataset: MUTAG
# type: GCN
# train_mode: T
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.438678;0.893333;0.738452;0.210526;0.712503;0.368421;1.000000;0.198381;0.164493;0.519326
1;0.180180;1.000000;0.636280;0.789474;0.667867;0.631579;1.000000;0.488964;0.073891;0.474830
2;0.109080;1.000000;0.571199;0.789474;0.651139;0.631579;1.000000;0.488964;0.005684;0.458839
3;0.085675;1.000000;0.522629;0.789474;0.640765;0.631579;1.000000;0.488964;0.052279;0.450405
4;0.071300;1.000000;0.461609;0.789474;0.616573;0.631579;1.000000;0.488964;0.110523;0.433998
5;0.058179;1.000000;0.342476;0.789474;0.492865;0.631579;1.000000;0.488964;0.343552;0.336560
6;0.051375;1.000000;0.190899;1.000000;0.259234;1.000000;1.000000;1.000000;0.217005;0.127340
7;0.046944;1.000000;0.107637;1.000000;0.119034;1.000000;1.000000;1.000000;0.111670;0.026878
8;0.042858;1.000000;0.066114;1.000000;0.065098;1.000000;1.000000;1.000000;0.063009;0.007996
9;0.031122;1.000000;0.046105;1.000000;0.041076;1.000000;1.000000;1.000000;0.040232;0.003280
10;0.027656;1.000000;0.033818;1.000000;0.028602;1.000000;1.000000;1.000000;0.028177;0.001663
11;0.024466;1.000000;0.026982;1.000000;0.021683;1.000000;1.000000;1.000000;0.021425;0.001013
12;0.029233;1.000000;0.021179;1.000000;0.016606;1.000000;1.000000;1.000000;0.016452;0.000608
13;0.038262;1.000000;0.018699;1.000000;0.014075;1.000000;1.000000;1.000000;0.013956;0.000473
14;0.027116;1.000000;0.016099;1.000000;0.011960;1.000000;1.000000;1.000000;0.011872;0.000346
15;0.016739;1.000000;0.014417;1.000000;0.010564;1.000000;1.000000;1.000000;0.010495;0.000274
16;0.017358;1.000000;0.013218;1.000000;0.009552;1.000000;1.000000;1.000000;0.009495;0.000227
17;0.017218;1.000000;0.012102;1.000000;0.008885;1.000000;1.000000;1.000000;0.008837;0.000192
18;0.016665;1.000000;0.010920;1.000000;0.008119;1.000000;1.000000;1.000000;0.008079;0.000159
