# dataset: PROTEINS
# type: GCN
# train_mode: P
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.727358;0.611924;0.710822;0.580357;0.691565;0.580357;0.533665;0.573078;0.036366;0.486792
1;0.671969;0.623172;0.706234;0.616071;0.720451;0.616071;0.551907;0.500423;0.110367;0.496392
2;0.648381;0.629921;0.688522;0.633929;0.703583;0.616071;0.573134;0.487080;0.080826;0.484067
3;0.649553;0.642295;0.674903;0.633929;0.661280;0.625000;0.643118;0.557696;0.070137;0.449985
4;0.666773;0.654668;0.673909;0.633929;0.692832;0.616071;0.608955;0.487080;0.104394;0.474923
5;0.629779;0.663667;0.681139;0.660714;0.712286;0.607143;0.546600;0.495156;0.092882;0.487855
6;0.645421;0.654668;0.671194;0.651786;0.684379;0.625000;0.603648;0.518103;0.077336;0.466504
7;0.625027;0.658043;0.667370;0.625000;0.667896;0.607143;0.651410;0.517787;0.065660;0.456751
8;0.645831;0.653543;0.671211;0.616071;0.692649;0.633929;0.610614;0.523659;0.116605;0.471721
9;0.628436;0.663667;0.648256;0.633929;0.666658;0.633929;0.609950;0.555358;0.090675;0.455097
10;0.631500;0.670416;0.703213;0.625000;0.743174;0.616071;0.486235;0.578295;0.127688;0.510262
11;0.621767;0.656918;0.818886;0.616071;0.861878;0.598214;0.602322;0.447825;0.235350;0.566451
12;0.655061;0.645669;0.674833;0.642857;0.698328;0.633929;0.602653;0.545753;0.088757;0.472049
13;0.645520;0.642295;0.680113;0.633929;0.693113;0.616071;0.618574;0.523595;0.078301;0.467735
14;0.634229;0.655793;0.725702;0.616071;0.765417;0.607143;0.603648;0.467810;0.168227;0.518455
15;0.625680;0.660292;0.675888;0.660714;0.681757;0.633929;0.622886;0.545753;0.059071;0.461288
16;0.617221;0.680540;0.681641;0.651786;0.705920;0.642857;0.598342;0.570578;0.080344;0.472606
