# dataset: PROTEINS
# type: GCN
# train_mode: S
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.684063;0.618673;0.698144;0.580357;0.696783;0.508929;0.564274;0.343301;0.073717;0.506644
1;0.583669;0.714286;0.633982;0.678571;0.699476;0.517857;0.576077;0.483075;0.135631;0.516044
2;0.574236;0.728909;0.619411;0.705357;0.779941;0.544643;0.654226;0.491874;0.196107;0.540564
3;0.565685;0.727784;0.603233;0.714286;0.760834;0.580357;0.637640;0.563488;0.145887;0.520743
4;0.536220;0.752531;0.602083;0.696429;0.749193;0.607143;0.666348;0.582823;0.118014;0.509981
5;0.544010;0.737908;0.580567;0.732143;0.753763;0.660714;0.659330;0.656098;0.211774;0.510814
6;0.528744;0.753656;0.568042;0.732143;0.736816;0.607143;0.649761;0.597884;0.116603;0.506579
7;0.528472;0.751406;0.590907;0.741071;0.723271;0.633929;0.681021;0.616268;0.089141;0.485311
8;0.542822;0.746907;0.591390;0.741071;0.700907;0.589286;0.697608;0.563861;0.177042;0.485587
9;0.531956;0.743532;0.574451;0.714286;0.698640;0.598214;0.719936;0.578831;0.132575;0.472959
10;0.519162;0.762655;0.591227;0.705357;0.724942;0.616071;0.659968;0.605893;0.103554;0.503774
11;0.511896;0.760405;0.556311;0.714286;0.736135;0.651786;0.693142;0.640306;0.128554;0.483434
12;0.522320;0.754781;0.544595;0.741071;0.724076;0.660714;0.685486;0.656098;0.097019;0.476953
13;0.527336;0.760405;0.562159;0.732143;0.731283;0.633929;0.688676;0.626311;0.101133;0.476745
14;0.520219;0.757030;0.627942;0.714286;0.744011;0.607143;0.684211;0.578802;0.136876;0.509923
15;0.546253;0.733408;0.606923;0.723214;0.749601;0.607143;0.672089;0.589811;0.136599;0.508757
16;0.521813;0.746907;0.593881;0.741071;0.746137;0.642857;0.670494;0.634440;0.116969;0.496137
17;0.540027;0.736783;0.562180;0.732143;0.704610;0.633929;0.709729;0.626311;0.095095;0.459334
18;0.526909;0.748031;0.570260;0.723214;0.733790;0.642857;0.673684;0.639401;0.134635;0.488524
19;0.537102;0.744657;0.556424;0.741071;0.708111;0.642857;0.696332;0.640561;0.111881;0.462775
