# dataset: PROTEINS
# type: GCN
# train_mode: T
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.224994;0.956130;0.607759;0.642857;0.609419;0.678571;0.976015;0.633488;0.282331;0.424171
1;0.050762;1.000000;0.039935;1.000000;0.054995;1.000000;1.000000;1.000000;0.053384;0.006899
2;0.034756;0.998875;0.021337;1.000000;0.037233;1.000000;1.000000;1.000000;0.030111;0.004598
3;0.020698;1.000000;1.155039;0.642857;0.894481;0.678571;0.976015;0.633488;0.291049;0.512168
4;0.012911;1.000000;0.490706;0.696429;0.492135;0.830357;1.000000;0.823596;0.135813;0.265355
5;0.009635;1.000000;0.010694;1.000000;0.030244;1.000000;1.000000;1.000000;0.020363;0.005475
6;0.008120;1.000000;0.536051;0.696429;0.542535;0.830357;1.000000;0.823596;0.143659;0.279600
7;0.006530;1.000000;0.009665;1.000000;0.048684;1.000000;1.000000;1.000000;0.026821;0.015240
8;0.005426;1.000000;0.001884;1.000000;0.002437;1.000000;1.000000;1.000000;0.002387;0.000014
9;0.003046;1.000000;0.016355;1.000000;0.107989;0.955357;1.000000;0.955159;0.044382;0.046486
10;0.003681;1.000000;0.001853;1.000000;0.005426;1.000000;1.000000;1.000000;0.004014;0.000183
11;0.003302;1.000000;0.001643;1.000000;0.005889;1.000000;1.000000;1.000000;0.004147;0.000251
12;0.002403;1.000000;0.004078;1.000000;0.036118;1.000000;1.000000;1.000000;0.019247;0.010398
13;0.002788;1.000000;0.000979;1.000000;0.001708;1.000000;1.000000;1.000000;0.001527;0.000009
14;0.002041;1.000000;0.370804;0.821429;0.590747;0.830357;1.000000;0.823596;0.150552;0.273741
15;0.001668;1.000000;0.001545;1.000000;0.011570;1.000000;1.000000;1.000000;0.007112;0.001278
16;0.001911;1.000000;0.943341;0.696429;0.844166;0.830357;1.000000;0.823596;0.162110;0.327700
17;0.001617;1.000000;0.000566;1.000000;0.000941;1.000000;1.000000;1.000000;0.000852;0.000002
18;0.001548;1.000000;0.000538;1.000000;0.000879;1.000000;1.000000;1.000000;0.000807;0.000002
19;0.001055;1.000000;0.000616;1.000000;0.001205;1.000000;1.000000;1.000000;0.001057;0.000005
20;0.001203;1.000000;0.487867;0.696429;0.681519;0.830357;1.000000;0.823596;0.157430;0.296498
21;0.001006;1.000000;0.001521;1.000000;0.038006;1.000000;1.000000;1.000000;0.018392;0.012416
22;0.000975;1.000000;1.827453;0.642857;1.262289;0.678571;0.976015;0.633488;0.280613;0.505339
23;0.000915;1.000000;0.000399;1.000000;0.000579;1.000000;1.000000;1.000000;0.000581;0.000001
24;0.000926;1.000000;0.000437;1.000000;0.001137;1.000000;1.000000;1.000000;0.000907;0.000006
25;0.001179;1.000000;0.000255;1.000000;0.000388;1.000000;1.000000;1.000000;0.000378;0.000000
26;0.000665;1.000000;0.000712;1.000000;0.011544;1.000000;1.000000;1.000000;0.006640;0.001466
27;0.000763;1.000000;0.435746;0.821429;0.672803;0.830357;1.000000;0.823596;0.154791;0.285271
28;0.000646;1.000000;0.000335;1.000000;0.001331;1.000000;1.000000;1.000000;0.000993;0.000012
29;0.000823;1.000000;1.408624;0.696429;1.101910;0.830357;1.000000;0.823596;0.160933;0.337095
30;0.000512;1.000000;0.000270;1.000000;0.000561;1.000000;1.000000;1.000000;0.000506;0.000001
31;0.000804;1.000000;0.000207;1.000000;0.000409;1.000000;1.000000;1.000000;0.000382;0.000001
32;0.000474;1.000000;0.133875;0.910714;0.450677;0.955357;1.000000;0.955159;0.105379;0.148443
33;0.000560;1.000000;0.282758;0.910714;0.652993;0.830357;1.000000;0.823596;0.150484;0.269852
34;0.000586;1.000000;0.000804;1.000000;0.086980;0.955357;1.000000;0.955159;0.030820;0.039819
35;0.000606;1.000000;0.000184;1.000000;0.000517;1.000000;1.000000;1.000000;0.000406;0.000001
36;0.000498;1.000000;0.000259;1.000000;0.005342;1.000000;1.000000;1.000000;0.003129;0.000345
37;0.000531;1.000000;0.002769;1.000000;0.171181;0.955357;1.000000;0.955159;0.042328;0.069960
38;0.000425;1.000000;0.000120;1.000000;0.000166;1.000000;1.000000;1.000000;0.000169;0.000000
39;0.000504;1.000000;0.169943;0.910714;0.562936;0.830357;1.000000;0.823596;0.125354;0.193893
40;0.000303;1.000000;2.030056;0.642857;1.354408;0.830357;0.976015;0.823596;0.237750;0.400581
41;0.000488;1.000000;0.000137;1.000000;0.001104;1.000000;1.000000;1.000000;0.000714;0.000013
42;0.000443;1.000000;0.000097;1.000000;0.000158;1.000000;1.000000;1.000000;0.000163;0.000000
43;0.000404;1.000000;0.234751;0.910714;0.636195;0.830357;1.000000;0.823596;0.137695;0.228269
44;0.000342;1.000000;0.665802;0.696429;0.942320;0.830357;1.000000;0.823596;0.166354;0.327229
45;0.000416;1.000000;0.000111;1.000000;0.000295;1.000000;1.000000;1.000000;0.000244;0.000000
46;0.000337;1.000000;0.000135;1.000000;0.000390;1.000000;1.000000;1.000000;0.000328;0.000001
47;0.000295;1.000000;0.000102;1.000000;0.000187;1.000000;1.000000;1.000000;0.000182;0.000000
