# dataset: ogbg-molhiv
# type: GCN
# train_mode: P
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.168386;0.959545;0.162403;0.963044;0.163444;0.967177;0.000000;0.951040;0.048720;0.069354
1;0.149905;0.964773;0.154924;0.962558;0.155795;0.966691;0.000000;0.950797;0.037355;0.067783
2;0.147782;0.964834;0.151820;0.962315;0.152724;0.966934;0.000000;0.950918;0.035081;0.066813
3;0.146979;0.964743;0.139558;0.963287;0.141968;0.967177;0.000000;0.951040;0.012661;0.062767
4;0.145443;0.964804;0.143103;0.963287;0.144841;0.967177;0.000000;0.951040;0.027204;0.063273
5;0.144343;0.964773;0.139026;0.963287;0.139385;0.967177;0.000000;0.951040;0.013665;0.061925
6;0.144667;0.964743;0.141529;0.963287;0.143715;0.967177;0.000000;0.951040;0.024010;0.062847
7;0.143644;0.964834;0.161465;0.963530;0.162275;0.966691;0.000000;0.951720;0.056006;0.069740
8;0.142708;0.964773;0.145522;0.963287;0.145439;0.967177;0.000000;0.951040;0.028497;0.063009
9;0.142004;0.964773;0.135569;0.963287;0.137161;0.967177;0.000000;0.951040;0.008930;0.061112
10;0.141433;0.964834;0.136751;0.963287;0.137947;0.967177;0.000000;0.951040;0.010650;0.061222
11;0.141550;0.964743;0.136188;0.963287;0.135895;0.967177;0.000000;0.951040;0.006081;0.061081
12;0.141258;0.964804;0.138732;0.963287;0.137923;0.967177;0.000000;0.951040;0.007644;0.061488
13;0.141867;0.964804;0.142179;0.963044;0.142284;0.966934;0.000000;0.951848;0.027142;0.063079
14;0.140965;0.964712;0.141106;0.963287;0.140598;0.967664;0.000000;0.952233;0.028484;0.061725
15;0.141677;0.964864;0.147288;0.964260;0.147718;0.965718;0.000000;0.952859;0.036038;0.065333
16;0.141370;0.964712;0.138420;0.963287;0.137821;0.967177;0.000000;0.951040;0.014421;0.061404
