# dataset: ogbg-molhiv
# type: GCN
# train_mode: S
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.251462;0.915170;0.136835;0.968150;0.138035;0.965962;0.000000;0.949237;0.025070;0.064221
1;0.147879;0.964378;0.132726;0.968150;0.135668;0.965962;0.000000;0.949237;0.020589;0.063169
2;0.147120;0.964378;0.128456;0.968150;0.130839;0.965962;0.000000;0.949237;0.013728;0.062113
3;0.145003;0.964378;0.127233;0.968150;0.131307;0.965962;0.000000;0.949237;0.012054;0.061880
4;0.143555;0.964378;0.128363;0.968150;0.128799;0.965962;0.000000;0.949237;0.018558;0.060718
5;0.144079;0.964378;0.128193;0.968150;0.131021;0.965962;0.000000;0.949237;0.017255;0.061868
6;0.141850;0.964378;0.138859;0.968150;0.145903;0.965962;0.000000;0.949237;0.022572;0.065582
7;0.142417;0.964378;0.125923;0.968150;0.128650;0.965962;0.000000;0.949237;0.010609;0.061574
8;0.141015;0.964378;0.125910;0.968150;0.129132;0.965962;0.000000;0.949237;0.013368;0.061699
9;0.141445;0.964378;0.129974;0.968150;0.130523;0.965962;0.000000;0.949237;0.015780;0.061663
10;0.140004;0.964378;0.122713;0.968150;0.125339;0.965962;0.000000;0.949237;0.008123;0.060551
11;0.139897;0.964378;0.126538;0.968150;0.126311;0.965962;0.000000;0.949237;0.009924;0.060298
12;0.139274;0.964408;0.127301;0.968150;0.132238;0.965962;0.000000;0.949237;0.011466;0.063438
