# dataset: ogbg-molhiv
# type: GCN
# train_mode: T
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.150726;0.998936;0.050368;1.000000;0.053072;1.000000;0.000000;1.000000;0.051929;0.005941
1;0.014759;1.000000;0.059265;0.999514;0.051928;1.000000;0.000000;1.000000;0.051616;0.007038
2;0.006436;1.000000;0.141750;0.999514;0.156318;1.000000;0.000000;1.000000;0.142532;0.066973
3;0.003923;1.000000;0.571729;0.698517;0.647753;0.579382;0.000000;0.701267;0.401894;0.497932
4;0.002730;1.000000;1.521755;0.097496;1.658201;0.158279;0.000000;0.221652;0.643293;1.186985
5;0.002196;1.000000;1.354588;0.216873;1.472263;0.277170;0.000000;0.390543;0.599435;1.026846
6;0.002999;0.999331;5.429967;0.035983;5.576485;0.034768;0.000000;0.002336;0.962237;1.918503
7;0.001623;1.000000;0.000026;1.000000;0.000017;1.000000;0.000000;1.000000;0.000018;0.000000
8;0.001350;1.000000;0.003077;1.000000;0.001050;1.000000;0.000000;1.000000;0.001104;0.000029
9;0.001326;1.000000;0.117067;0.999514;0.002698;1.000000;0.000000;1.000000;0.002808;0.000180
10;0.001285;1.000000;0.190589;0.999514;0.070461;0.940676;0.000000;0.953391;0.056097;0.049126
11;0.001240;1.000000;0.247874;0.879164;0.126017;0.878677;0.000000;0.912723;0.090525;0.095881
12;0.001169;1.000000;0.253630;0.879164;0.161898;0.878677;0.000000;0.912723;0.102147;0.122907
13;0.001102;1.000000;0.173758;0.996839;0.140961;0.932653;0.000000;0.946029;0.066493;0.066977
14;0.001085;1.000000;0.434337;0.815949;0.463368;0.814004;0.000000;0.871022;0.164674;0.299934
