# dataset: COLLAB
# type: GIN
# train_mode: P
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;1.420262;0.540500;0.864281;0.610000;0.880103;0.654000;0.000000;0.588205;0.130805;0.499033
1;1.050371;0.560000;0.789897;0.620000;0.788090;0.664000;0.000000;0.596575;0.155149;0.491126
2;0.886165;0.606000;1.011811;0.564000;1.143532;0.598000;0.000000;0.485589;0.158764;0.581721
3;0.867379;0.621750;0.752502;0.630000;0.725129;0.662000;0.000000;0.599888;0.111241;0.455781
4;0.890192;0.632750;0.739703;0.654000;0.717174;0.684000;0.000000;0.672317;0.113087;0.441837
5;0.849634;0.640500;0.720970;0.664000;0.686342;0.718000;0.000000;0.694323;0.111465;0.425244
6;0.768606;0.651000;0.732290;0.646000;0.729358;0.668000;0.000000;0.662014;0.117117;0.459721
7;0.830218;0.648250;0.718149;0.660000;0.698368;0.684000;0.000000;0.681023;0.096066;0.436058
8;0.772087;0.664000;0.715893;0.656000;0.700104;0.666000;0.000000;0.657323;0.078464;0.442084
9;0.792419;0.660500;0.698230;0.668000;0.665275;0.700000;0.000000;0.689769;0.062709;0.413279
10;0.766913;0.664750;0.700832;0.646000;0.674925;0.684000;0.000000;0.671910;0.057873;0.421221
11;0.743634;0.660750;0.710091;0.650000;0.698292;0.660000;0.000000;0.663045;0.070003;0.437878
12;0.725380;0.663500;0.741463;0.624000;0.745756;0.622000;0.000000;0.588595;0.079839;0.481153
13;0.718965;0.663000;0.684518;0.660000;0.650032;0.696000;0.000000;0.685589;0.069540;0.402392
14;0.726589;0.669000;0.693238;0.676000;0.660094;0.700000;0.000000;0.686152;0.084767;0.409549
15;0.722134;0.670250;0.687562;0.656000;0.655406;0.690000;0.000000;0.678648;0.067238;0.405362
16;0.701227;0.678500;0.697695;0.650000;0.687474;0.664000;0.000000;0.656515;0.063867;0.432016
17;0.698230;0.686250;0.688230;0.658000;0.673030;0.688000;0.000000;0.683328;0.046063;0.420649
18;0.697772;0.678000;0.687765;0.680000;0.648710;0.714000;0.000000;0.702322;0.078856;0.400081
19;0.716560;0.681750;0.720921;0.632000;0.703450;0.664000;0.000000;0.657121;0.049889;0.440907
20;0.715944;0.671000;0.689679;0.668000;0.643842;0.714000;0.000000;0.695546;0.063945;0.397856
