# dataset: COLLAB
# type: GIN
# train_mode: S
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.893136;0.606000;0.778494;0.658000;0.759896;0.648000;0.000000;0.586644;0.063290;0.452326
1;0.811570;0.637250;0.753663;0.646000;0.743078;0.648000;0.000000;0.616620;0.070520;0.446325
2;0.775041;0.664500;0.732959;0.672000;0.712913;0.672000;0.000000;0.645412;0.080076;0.435254
3;0.752764;0.669750;0.717692;0.662000;0.717596;0.638000;0.000000;0.613916;0.063207;0.444059
4;0.730691;0.679000;0.694625;0.682000;0.684833;0.680000;0.000000;0.670194;0.062913;0.421509
5;0.723479;0.672750;0.697391;0.670000;0.697104;0.662000;0.000000;0.632141;0.088695;0.436232
6;0.723299;0.677250;0.689812;0.694000;0.676002;0.698000;0.000000;0.681919;0.043126;0.411588
7;0.715152;0.670750;0.678563;0.694000;0.684453;0.696000;0.000000;0.690473;0.055267;0.416300
8;0.717025;0.672750;0.732442;0.660000;0.732386;0.654000;0.000000;0.646857;0.031956;0.450570
9;0.699582;0.680750;0.681685;0.700000;0.695849;0.682000;0.000000;0.682475;0.066472;0.426726
10;0.713247;0.676000;0.733703;0.680000;0.728281;0.674000;0.000000;0.637417;0.101835;0.449709
11;0.696618;0.680750;0.680257;0.690000;0.660053;0.700000;0.000000;0.689427;0.040571;0.407502
12;0.704961;0.682250;0.706989;0.698000;0.693231;0.688000;0.000000;0.687784;0.085829;0.419200
13;0.700039;0.676000;0.676643;0.682000;0.675492;0.680000;0.000000;0.674497;0.059091;0.423641
14;0.689589;0.684000;0.721569;0.680000;0.723063;0.678000;0.000000;0.684656;0.070360;0.438509
15;0.696717;0.686750;0.674669;0.710000;0.662504;0.714000;0.000000;0.707848;0.049010;0.396614
16;0.688123;0.686000;0.668590;0.706000;0.652210;0.700000;0.000000;0.683350;0.047588;0.403280
17;0.684920;0.686500;0.648994;0.710000;0.645185;0.718000;0.000000;0.719696;0.054345;0.394196
18;0.689592;0.685000;0.682663;0.644000;0.667534;0.664000;0.000000;0.659947;0.063914;0.423254
19;0.686687;0.684500;0.668068;0.688000;0.669666;0.680000;0.000000;0.679824;0.061049;0.414603
20;0.674554;0.690750;0.643085;0.706000;0.632694;0.712000;0.000000;0.708780;0.031629;0.392661
21;0.674597;0.691500;0.671889;0.686000;0.652330;0.706000;0.000000;0.700814;0.051343;0.397187
22;0.686867;0.681500;0.670265;0.688000;0.658224;0.702000;0.000000;0.691751;0.045251;0.408250
23;0.687757;0.688250;0.654841;0.676000;0.642446;0.704000;0.000000;0.692023;0.082447;0.395544
24;0.671952;0.688000;0.651684;0.712000;0.641699;0.710000;0.000000;0.703450;0.077027;0.394307
25;0.684335;0.683250;0.650557;0.694000;0.646971;0.702000;0.000000;0.698971;0.041847;0.397521
26;0.679467;0.688750;0.679495;0.688000;0.691539;0.706000;0.000000;0.710223;0.068860;0.424346
27;0.681021;0.682750;0.659897;0.692000;0.639415;0.706000;0.000000;0.697490;0.042554;0.393038
