# dataset: COLLAB
# type: GIN
# train_mode: T
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.468643;0.814000;0.911267;0.764000;1.006178;0.756000;0.000000;0.719410;0.376027;0.549946
1;0.080937;0.988000;1.634394;0.666000;0.837729;0.828000;0.000000;0.832806;0.159800;0.327247
2;0.010787;1.000000;0.273817;0.928000;0.850737;0.872000;0.000000;0.875813;0.120562;0.239695
3;0.004508;1.000000;1.693250;0.722000;1.014717;0.840000;0.000000;0.842855;0.158083;0.315259
4;0.003235;1.000000;1.344462;0.784000;0.953295;0.840000;0.000000;0.842855;0.142952;0.267615
5;0.002289;1.000000;1.449638;0.746000;0.873303;0.840000;0.000000;0.842855;0.155169;0.305930
6;0.001761;1.000000;1.571645;0.746000;1.060450;0.840000;0.000000;0.842855;0.152316;0.292426
7;0.001295;1.000000;2.434740;0.722000;1.350291;0.840000;0.000000;0.842855;0.159430;0.319769
8;0.055623;0.982750;1.668667;0.760000;1.041120;0.884000;0.000000;0.886315;0.122176;0.234250
9;0.003927;0.999750;2.682434;0.696000;1.397692;0.828000;0.000000;0.832806;0.170713;0.342108
