# dataset: IMDB-BINARY
# type: GIN
# train_mode: P
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;1.093793;0.528750;0.967794;0.440000;0.636763;0.540000;0.654155;0.432643;0.074747;0.459282
1;0.791383;0.528750;1.470129;0.450000;0.668454;0.530000;0.643316;0.367190;0.081732;0.479888
2;0.916330;0.551250;0.875214;0.460000;0.655616;0.530000;0.703131;0.367190;0.107780;0.471135
3;0.768481;0.552500;0.651454;0.470000;0.667902;0.530000;0.676636;0.384217;0.139183;0.481897
4;0.720891;0.560000;0.745907;0.450000;0.674561;0.530000;0.690285;0.367190;0.136612;0.491045
5;0.770978;0.528750;1.083833;0.590000;0.638378;0.600000;0.659173;0.600320;0.056364;0.459332
6;0.723096;0.531250;0.764425;0.630000;0.633670;0.590000;0.632276;0.576788;0.036817;0.457976
7;0.730260;0.552500;1.679343;0.630000;0.634253;0.580000;0.593135;0.547912;0.035963;0.463328
8;0.760573;0.543750;0.660736;0.580000;0.677846;0.550000;0.556202;0.476410;0.031307;0.500975
9;0.719254;0.545000;0.633543;0.470000;0.650936;0.520000;0.631674;0.442286;0.105677;0.471101
10;0.694709;0.600000;0.681070;0.580000;0.686138;0.530000;0.558410;0.453140;0.076916;0.514571
11;0.714251;0.568750;0.656808;0.650000;0.637099;0.580000;0.588920;0.536615;0.040892;0.465563
12;0.703551;0.555000;0.626937;0.610000;0.645389;0.560000;0.621437;0.500392;0.058124;0.469013
13;0.698203;0.562500;0.806656;0.460000;0.631225;0.550000;0.700923;0.425227;0.068004;0.454313
14;0.677743;0.571250;0.684375;0.630000;0.636298;0.630000;0.661381;0.622996;0.074717;0.456789
15;0.671783;0.598750;0.621603;0.480000;0.636896;0.560000;0.694099;0.444740;0.057105;0.456595
16;0.674424;0.575000;0.632351;0.600000;0.661781;0.560000;0.589322;0.500392;0.033795;0.480381
17;0.695912;0.593750;0.619011;0.640000;0.645062;0.620000;0.682658;0.615717;0.076772;0.461987
18;0.671797;0.590000;0.751246;0.580000;0.646319;0.560000;0.591128;0.483566;0.086406;0.478444
19;0.695263;0.556250;0.653036;0.520000;0.663623;0.570000;0.656363;0.538685;0.028973;0.481417
20;0.665586;0.613750;0.809070;0.640000;0.639293;0.640000;0.675030;0.637399;0.091555;0.457250
21;0.656988;0.583750;0.636384;0.670000;0.653959;0.600000;0.669811;0.574107;0.057222;0.470797
22;0.663725;0.593750;1.025388;0.650000;0.623457;0.660000;0.682055;0.660272;0.098583;0.449499
23;0.678314;0.596250;0.647666;0.560000;0.665400;0.560000;0.664994;0.512637;0.023308;0.478049
24;0.675508;0.593750;0.657773;0.630000;0.661822;0.570000;0.622842;0.515435;0.017289;0.479115
