# dataset: IMDB-BINARY
# type: GIN
# train_mode: S
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.762751;0.518750;0.710498;0.510000;0.669296;0.540000;0.684263;0.405067;0.031562;0.481511
1;0.695311;0.611250;0.720707;0.600000;0.662753;0.600000;0.654356;0.588333;0.070208;0.464621
2;0.692932;0.601250;0.715769;0.590000;0.705962;0.640000;0.672822;0.631964;0.026700;0.454307
3;0.696299;0.595000;0.702220;0.630000;0.668070;0.640000;0.689281;0.637370;0.017514;0.443317
4;0.689220;0.598750;0.691271;0.610000;0.655522;0.670000;0.696507;0.666945;0.052583;0.436837
5;0.680128;0.622500;0.694562;0.620000;0.666465;0.670000;0.696307;0.666945;0.042027;0.435132
6;0.675618;0.625000;0.683714;0.650000;0.668688;0.670000;0.701525;0.669102;0.068792;0.439820
7;0.677585;0.612500;0.686245;0.700000;0.667534;0.670000;0.710959;0.669102;0.066905;0.440674
8;0.677303;0.627500;0.685892;0.650000;0.666722;0.640000;0.702931;0.637370;0.040047;0.440824
9;0.683888;0.606250;0.682415;0.670000;0.661484;0.610000;0.689081;0.606390;0.111139;0.446448
10;0.677629;0.610000;0.704552;0.640000;0.649203;0.600000;0.688278;0.597078;0.079667;0.440341
11;0.679645;0.621250;0.684047;0.620000;0.663465;0.680000;0.707949;0.677662;0.065265;0.433191
12;0.667859;0.626250;0.680471;0.690000;0.678664;0.670000;0.728623;0.669102;0.049142;0.434895
13;0.665972;0.630000;0.688765;0.580000;0.672812;0.640000;0.717383;0.639420;0.032757;0.432676
14;0.663129;0.638750;0.690606;0.690000;0.674115;0.650000;0.714974;0.648051;0.038904;0.437765
15;0.671334;0.613750;0.694732;0.650000;0.651127;0.620000;0.686873;0.615659;0.052560;0.440828
16;0.672091;0.606250;0.697072;0.660000;0.672780;0.620000;0.698113;0.620304;0.037588;0.448145
17;0.660325;0.626250;0.666992;0.640000;0.665073;0.700000;0.738258;0.696573;0.078772;0.425092
18;0.655430;0.640000;0.677334;0.680000;0.686899;0.640000;0.729627;0.640288;0.038270;0.441019
19;0.676193;0.617500;0.670219;0.700000;0.690918;0.670000;0.731433;0.669768;0.114589;0.435807
20;0.662947;0.637500;0.690561;0.610000;0.643636;0.640000;0.725813;0.637370;0.102015;0.424692
21;0.673118;0.603750;0.671675;0.690000;0.662533;0.660000;0.741269;0.657516;0.051412;0.429585
22;0.656201;0.645000;0.675045;0.680000;0.658799;0.660000;0.739261;0.658626;0.041891;0.420290
23;0.673630;0.618750;0.683821;0.660000;0.671468;0.660000;0.752308;0.660272;0.084291;0.425475
24;0.662872;0.638750;0.675350;0.670000;0.665156;0.660000;0.751505;0.659452;0.067317;0.427690
