# dataset: IMDB-BINARY
# type: GIN
# train_mode: T
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.193499;0.962500;0.365113;1.000000;0.494917;0.830000;0.980792;0.824303;0.332361;0.292543
1;0.031246;1.000000;0.080727;1.000000;0.494760;0.830000;0.980792;0.824303;0.117705;0.286120
2;0.019288;1.000000;0.015435;1.000000;0.582425;0.830000;0.980792;0.824303;0.151697;0.309268
3;0.010435;1.000000;0.015862;1.000000;0.636321;0.830000;0.980792;0.824303;0.156420;0.317300
4;0.008029;1.000000;0.034224;1.000000;0.701100;0.830000;0.980792;0.824303;0.161636;0.324524
5;0.007348;1.000000;0.012563;1.000000;0.744448;0.830000;0.980792;0.824303;0.163353;0.327761
6;0.004705;1.000000;0.008083;1.000000;0.732955;0.830000;0.980792;0.824303;0.163885;0.327016
7;0.005757;1.000000;0.004090;1.000000;0.762914;0.830000;0.980792;0.824303;0.164829;0.328831
8;0.003385;1.000000;0.002640;1.000000;0.807828;0.830000;0.980792;0.824303;0.166221;0.331455
9;0.003393;1.000000;0.010911;1.000000;0.859595;0.830000;0.980792;0.824303;0.166974;0.333591
10;0.002472;1.000000;0.010607;1.000000;0.880863;0.830000;0.980792;0.824303;0.167350;0.334291
11;0.002292;1.000000;0.002505;1.000000;0.906752;0.830000;0.980792;0.824303;0.167785;0.335072
12;0.002061;1.000000;0.001750;1.000000;0.883022;0.830000;0.980792;0.824303;0.167601;0.334377
13;0.002074;1.000000;0.009212;1.000000;0.985820;0.830000;0.980792;0.824303;0.168513;0.336822
14;0.001369;1.000000;0.002151;1.000000;0.900614;0.830000;0.980792;0.824303;0.168002;0.334979
15;0.001674;1.000000;0.001817;1.000000;0.997016;0.830000;0.980792;0.824303;0.168628;0.336971
16;0.001645;1.000000;0.053931;1.000000;1.054628;0.830000;0.980792;0.824303;0.168692;0.337729
17;0.001031;1.000000;0.001027;1.000000;1.076156;0.830000;0.980792;0.824303;0.169061;0.337997
18;0.001198;1.000000;0.000903;1.000000;1.025300;0.830000;0.980792;0.824303;0.168888;0.337370
19;0.000764;1.000000;0.015745;1.000000;1.123433;0.830000;0.980792;0.824303;0.169243;0.338451
20;0.001161;1.000000;0.005246;1.000000;1.123939;0.830000;0.980792;0.824303;0.169257;0.338450
21;0.000669;1.000000;0.047764;1.000000;1.175969;0.830000;0.980792;0.824303;0.169400;0.338833
22;0.000974;1.000000;0.005415;1.000000;1.162100;0.830000;0.980792;0.824303;0.169358;0.338754
23;0.000682;1.000000;0.000548;1.000000;1.239872;0.830000;0.980792;0.824303;0.169595;0.339175
24;0.000604;1.000000;0.002002;1.000000;1.168445;0.830000;0.980792;0.824303;0.169439;0.338796
25;0.000489;1.000000;0.003433;1.000000;1.163113;0.830000;0.980792;0.824303;0.169426;0.338765
26;0.000611;1.000000;0.034947;1.000000;1.256852;0.830000;0.980792;0.824303;0.169602;0.339258
27;0.000550;1.000000;0.000386;1.000000;1.189092;0.830000;0.980792;0.824303;0.169517;0.338913
28;0.000674;1.000000;0.003015;1.000000;1.211138;0.830000;0.980792;0.824303;0.169545;0.339057
29;0.000878;1.000000;0.091575;1.000000;1.301782;0.830000;0.980792;0.824303;0.169678;0.339418
30;0.000561;1.000000;0.000351;1.000000;1.241694;0.830000;0.980792;0.824303;0.169657;0.339191
31;0.000590;1.000000;0.002845;1.000000;1.350310;0.830000;0.980792;0.824303;0.169730;0.339551
32;0.000338;1.000000;0.029300;1.000000;1.352798;0.830000;0.980792;0.824303;0.169762;0.339558
33;0.000416;1.000000;0.029558;1.000000;1.371188;0.830000;0.980792;0.824303;0.169776;0.339599
34;0.000262;1.000000;0.000456;1.000000;1.292138;0.830000;0.980792;0.824303;0.169693;0.339390
35;0.000366;1.000000;0.009404;1.000000;1.372805;0.830000;0.980792;0.824303;0.169762;0.339601
36;0.000347;1.000000;0.139885;0.970000;1.411785;0.830000;0.980792;0.824303;0.169811;0.339680
37;0.000641;1.000000;0.000273;1.000000;1.280380;0.830000;0.980792;0.824303;0.169695;0.339339
38;0.000218;1.000000;0.046400;1.000000;1.372169;0.830000;0.980792;0.824303;0.169786;0.339597
39;0.000427;1.000000;0.003683;1.000000;1.369874;0.830000;0.980792;0.824303;0.169781;0.339599
40;0.000372;1.000000;0.006681;1.000000;1.422497;0.830000;0.980792;0.824303;0.169834;0.339695
41;0.000279;1.000000;0.000429;1.000000;1.321642;0.830000;0.980792;0.824303;0.169749;0.339467
42;0.000257;1.000000;0.014142;1.000000;1.341001;0.830000;0.980792;0.824303;0.169757;0.339516
43;0.000221;1.000000;0.000533;1.000000;1.364003;0.830000;0.980792;0.824303;0.169782;0.339565
44;0.000260;1.000000;0.000266;1.000000;1.447748;0.830000;0.980792;0.824303;0.169823;0.339730
45;0.000411;1.000000;0.003896;1.000000;1.574651;0.830000;0.980792;0.824303;0.169902;0.339867
46;0.000254;1.000000;0.000656;1.000000;1.415416;0.830000;0.980792;0.824303;0.169852;0.339685
47;0.000181;1.000000;0.000271;1.000000;1.544006;0.830000;0.980792;0.824303;0.169887;0.339840
48;0.000253;1.000000;0.000790;1.000000;1.595376;0.830000;0.980792;0.824303;0.169887;0.339879
49;0.000314;1.000000;0.000418;1.000000;1.450919;0.830000;0.980792;0.824303;0.169840;0.339738
50;0.000191;1.000000;0.374677;0.970000;1.414402;0.830000;0.980792;0.824303;0.169531;0.339694
51;0.000376;1.000000;0.762209;0.970000;1.413627;0.830000;0.980792;0.824303;0.169759;0.339682
