# dataset: IMDB-MULTI
# type: GIN
# train_mode: P
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;1.559038;0.339167;1.101789;0.386667;1.270050;0.326667;0.000000;0.226394;0.115233;0.713558
1;1.432692;0.382500;1.572480;0.360000;1.185319;0.306667;0.000000;0.223753;0.190420;0.709966
2;1.266751;0.355833;1.158153;0.326667;1.194086;0.286667;0.000000;0.234492;0.098955;0.707940
3;1.154947;0.390833;1.168157;0.380000;1.105658;0.400000;0.000000;0.380997;0.054294;0.667816
4;1.163760;0.372500;1.235063;0.353333;1.115313;0.326667;0.000000;0.229240;0.112256;0.667886
5;1.159139;0.363333;1.104987;0.400000;1.117355;0.353333;0.000000;0.271043;0.079078;0.670561
6;1.165115;0.369167;1.096217;0.386667;1.146846;0.346667;0.000000;0.280399;0.063425;0.689819
7;1.174048;0.381667;1.089170;0.393333;1.116716;0.333333;0.000000;0.244229;0.093747;0.677239
8;1.117979;0.404167;1.186144;0.380000;1.119260;0.353333;0.000000;0.329293;0.058435;0.672685
9;1.149021;0.369167;1.210015;0.393333;1.108346;0.346667;0.000000;0.265214;0.057805;0.666884
10;1.208844;0.376667;1.215781;0.300000;1.104648;0.346667;0.000000;0.245700;0.095549;0.669557
11;1.114111;0.401667;1.122966;0.393333;1.126759;0.380000;0.000000;0.337445;0.055044;0.678534
12;1.125385;0.386667;1.100499;0.453333;1.095111;0.393333;0.000000;0.348537;0.070291;0.660737
13;1.120859;0.403333;1.089540;0.413333;1.103572;0.426667;0.000000;0.422139;0.085450;0.665541
14;1.175603;0.368333;1.103195;0.453333;1.129804;0.386667;0.000000;0.366261;0.045472;0.673158
