# dataset: IMDB-MULTI
# type: GIN
# train_mode: S
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;1.123506;0.401667;1.111420;0.353333;1.094227;0.406667;0.000000;0.392428;0.031318;0.660618
1;1.121019;0.400000;1.111382;0.386667;1.107621;0.406667;0.000000;0.385454;0.050610;0.664917
2;1.111728;0.390833;1.138070;0.406667;1.131519;0.440000;0.000000;0.431785;0.045421;0.668962
3;1.109388;0.406667;1.091872;0.406667;1.071736;0.446667;0.000000;0.445801;0.030643;0.643452
4;1.102876;0.405833;1.097731;0.406667;1.080568;0.440000;0.000000;0.440407;0.019883;0.647520
5;1.109426;0.416667;1.095632;0.346667;1.072859;0.413333;0.000000;0.411876;0.034270;0.645054
6;1.103005;0.410000;1.088268;0.413333;1.082479;0.400000;0.000000;0.385964;0.047620;0.650664
7;1.087806;0.440833;1.090242;0.386667;1.082383;0.386667;0.000000;0.379200;0.058927;0.652020
8;1.093001;0.431667;1.099516;0.386667;1.089237;0.426667;0.000000;0.418411;0.021190;0.653237
9;1.097037;0.412500;1.114846;0.366667;1.106133;0.420000;0.000000;0.408163;0.065680;0.665227
10;1.096094;0.406667;1.087533;0.380000;1.078036;0.386667;0.000000;0.380837;0.071989;0.647506
11;1.091888;0.415833;1.092637;0.420000;1.075057;0.393333;0.000000;0.391912;0.041159;0.647022
12;1.094092;0.426667;1.108937;0.360000;1.102596;0.400000;0.000000;0.385956;0.043876;0.661029
13;1.097026;0.409167;1.089035;0.413333;1.071252;0.440000;0.000000;0.432502;0.068668;0.646597
14;1.082010;0.432500;1.095462;0.380000;1.093683;0.386667;0.000000;0.378870;0.052720;0.656024
15;1.088359;0.424167;1.104222;0.413333;1.105860;0.413333;0.000000;0.395234;0.032391;0.662372
16;1.089935;0.410833;1.083771;0.406667;1.059077;0.433333;0.000000;0.434199;0.024388;0.637112
17;1.085079;0.412500;1.083748;0.426667;1.066789;0.400000;0.000000;0.399669;0.050347;0.642078
18;1.082440;0.431667;1.089847;0.406667;1.085243;0.413333;0.000000;0.396021;0.019648;0.651913
19;1.087866;0.417500;1.083498;0.373333;1.070838;0.440000;0.000000;0.437151;0.013349;0.643736
20;1.092824;0.421667;1.085652;0.393333;1.072122;0.440000;0.000000;0.428920;0.071282;0.647704
21;1.087804;0.417500;1.082087;0.380000;1.067636;0.440000;0.000000;0.436909;0.047150;0.641671
22;1.084587;0.432500;1.085953;0.440000;1.074913;0.433333;0.000000;0.420344;0.026612;0.648078
23;1.088493;0.436667;1.083379;0.393333;1.071712;0.420000;0.000000;0.412897;0.013051;0.644639
24;1.075019;0.425833;1.086438;0.393333;1.070886;0.420000;0.000000;0.411873;0.030300;0.643344
25;1.091775;0.391667;1.085235;0.406667;1.072597;0.446667;0.000000;0.437294;0.031983;0.646214
26;1.079831;0.427500;1.086162;0.386667;1.087467;0.400000;0.000000;0.389924;0.051714;0.651317
27;1.083617;0.441667;1.094925;0.386667;1.094715;0.413333;0.000000;0.399338;0.029930;0.656430
28;1.088962;0.423333;1.081838;0.400000;1.076576;0.420000;0.000000;0.413120;0.015573;0.646063
29;1.076939;0.434167;1.081937;0.400000;1.065729;0.453333;0.000000;0.441239;0.041994;0.641343
30;1.081927;0.436667;1.088039;0.420000;1.080811;0.420000;0.000000;0.417300;0.028411;0.647833
31;1.081280;0.428333;1.101112;0.393333;1.105671;0.420000;0.000000;0.388005;0.046013;0.661861
32;1.081003;0.434167;1.089445;0.400000;1.082753;0.426667;0.000000;0.411111;0.006665;0.650495
33;1.081801;0.429167;1.081029;0.393333;1.064725;0.453333;0.000000;0.450848;0.034332;0.638907
34;1.073868;0.436667;1.089739;0.393333;1.083634;0.400000;0.000000;0.392233;0.048398;0.649084
35;1.087470;0.417500;1.093679;0.446667;1.080948;0.420000;0.000000;0.411839;0.019013;0.649804
36;1.084379;0.425000;1.090744;0.400000;1.084195;0.413333;0.000000;0.406458;0.019734;0.650543
37;1.085343;0.435833;1.099144;0.373333;1.102732;0.426667;0.000000;0.407299;0.071761;0.662795
38;1.082322;0.440000;1.084573;0.400000;1.072031;0.446667;0.000000;0.434209;0.037563;0.643715
39;1.081187;0.424167;1.094761;0.400000;1.095628;0.420000;0.000000;0.394658;0.097065;0.658896
40;1.082277;0.412500;1.087229;0.386667;1.077925;0.426667;0.000000;0.413353;0.082787;0.647270
