# dataset: IMDB-MULTI
# type: GIN
# train_mode: T
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.601433;0.745000;0.989247;0.526667;0.728493;0.673333;0.000000;0.677050;0.216097;0.417921
1;0.110377;0.995833;1.406826;0.620000;0.536693;0.840000;0.000000;0.846369;0.115836;0.288632
2;0.041837;1.000000;1.563773;0.620000;0.610792;0.840000;0.000000;0.846369;0.130945;0.302256
3;0.025343;0.999167;1.525351;0.620000;0.575755;0.840000;0.000000;0.846369;0.141892;0.300971
4;0.027165;0.998333;1.881460;0.620000;0.591443;0.840000;0.000000;0.846369;0.146836;0.302602
5;0.032450;0.995833;0.677882;0.813333;0.011370;1.000000;0.000000;1.000000;0.011574;0.000737
6;0.010574;1.000000;0.798668;0.813333;0.019662;1.000000;0.000000;1.000000;0.018679;0.006382
7;0.007639;1.000000;0.949223;0.813333;0.237043;0.946667;0.000000;0.946852;0.048560;0.104252
8;0.006620;1.000000;1.163604;0.813333;0.177775;0.946667;0.000000;0.946852;0.046917;0.099600
9;0.005164;1.000000;2.104688;0.620000;0.767377;0.840000;0.000000;0.846369;0.156315;0.314988
10;0.005206;1.000000;1.100357;0.813333;0.084311;0.946667;0.000000;0.946852;0.044338;0.068920
11;0.003498;1.000000;0.712893;0.873333;0.257744;0.946667;0.000000;0.946852;0.051122;0.105119
12;0.003712;1.000000;0.592385;0.873333;0.177794;0.946667;0.000000;0.946852;0.050345;0.100155
13;0.003277;1.000000;0.463320;0.873333;0.001478;1.000000;0.000000;1.000000;0.001509;0.000008
14;0.003134;1.000000;0.803679;0.873333;0.272881;0.946667;0.000000;0.946852;0.052048;0.105605
15;0.001954;1.000000;0.550269;0.873333;0.034410;1.000000;0.000000;1.000000;0.026915;0.025240
16;0.002033;1.000000;0.727475;0.873333;0.075605;0.946667;0.000000;0.946852;0.041790;0.063774
17;0.001536;1.000000;2.712872;0.620000;1.011039;0.840000;0.000000;0.846369;0.158915;0.318837
18;0.001603;1.000000;1.407133;0.813333;0.209558;0.946667;0.000000;0.946852;0.051672;0.103230
19;0.001459;1.000000;0.933461;0.813333;0.294670;0.946667;0.000000;0.946852;0.052531;0.105987
20;0.001581;1.000000;0.664315;0.873333;0.014094;1.000000;0.000000;1.000000;0.013200;0.005942
