# dataset: MUTAG
# type: GIN
# train_mode: P
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.616416;0.640000;0.448794;0.789474;0.839560;0.578947;0.704545;0.424561;0.272892;0.607498
1;0.507626;0.726667;0.408602;0.789474;1.002294;0.578947;0.715909;0.424561;0.354635;0.679586
2;0.445781;0.793333;0.349690;0.789474;0.992062;0.578947;0.738636;0.424561;0.313352;0.668413
3;0.440904;0.800000;0.304905;0.842105;0.901846;0.578947;0.738636;0.424561;0.320707;0.628725
4;0.435685;0.806667;0.288090;0.894737;0.862098;0.526316;0.738636;0.399274;0.298196;0.609126
5;0.426514;0.793333;0.288914;0.736842;0.786777;0.526316;0.738636;0.500081;0.295128;0.574559
6;0.429614;0.773333;0.296830;0.789474;0.713917;0.526316;0.784091;0.500081;0.295047;0.536354
7;0.399473;0.820000;0.312638;0.789474;0.654400;0.526316;0.784091;0.500081;0.288263;0.497941
8;0.398428;0.800000;0.319332;0.789474;0.624241;0.526316;0.784091;0.500081;0.285111;0.475847
9;0.375314;0.806667;0.316852;0.789474;0.607620;0.526316;0.772727;0.500081;0.282467;0.462689
10;0.385478;0.826667;0.316885;0.789474;0.587499;0.578947;0.772727;0.566416;0.278598;0.446684
11;0.389602;0.800000;0.319609;0.789474;0.569920;0.578947;0.772727;0.566416;0.327527;0.432603
