# dataset: MUTAG
# type: GIN
# train_mode: S
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.664873;0.620000;0.658923;0.842105;0.662645;0.684211;0.371795;0.555921;0.136630;0.469582
1;0.532541;0.780000;0.619857;0.842105;0.642380;0.684211;0.794872;0.555921;0.109012;0.449684
2;0.487912;0.800000;0.576104;0.842105;0.618536;0.684211;0.769231;0.555921;0.156850;0.426872
3;0.487609;0.780000;0.533355;0.842105;0.597611;0.736842;0.743590;0.664080;0.141787;0.408144
4;0.455065;0.773333;0.488845;0.842105;0.570359;0.684211;0.769231;0.663910;0.100235;0.384895
5;0.431732;0.853333;0.438441;0.894737;0.539464;0.736842;0.756410;0.729754;0.103695;0.361560
6;0.442399;0.820000;0.392425;0.789474;0.507422;0.736842;0.794872;0.729754;0.108531;0.340581
7;0.436197;0.806667;0.355152;0.789474;0.483742;0.736842;0.807692;0.741700;0.042486;0.329387
8;0.407781;0.840000;0.337973;0.789474;0.477961;0.736842;0.794872;0.741700;0.116146;0.331182
9;0.471633;0.780000;0.336831;0.789474;0.482769;0.736842;0.782051;0.741700;0.091801;0.338070
10;0.411581;0.826667;0.348087;0.789474;0.479535;0.736842;0.794872;0.745995;0.123402;0.342628
11;0.400448;0.820000;0.358440;0.736842;0.483397;0.736842;0.794872;0.745995;0.098561;0.349562
12;0.350215;0.860000;0.369030;0.789474;0.479671;0.736842;0.782051;0.745995;0.122804;0.346029
13;0.385621;0.820000;0.378879;0.789474;0.483686;0.736842;0.820513;0.745995;0.082957;0.347203
14;0.416204;0.813333;0.386615;0.789474;0.474094;0.736842;0.820513;0.745995;0.080902;0.337421
15;0.344507;0.886667;0.396794;0.789474;0.493957;0.736842;0.820513;0.745995;0.090734;0.351690
16;0.393501;0.813333;0.404892;0.789474;0.514374;0.736842;0.794872;0.745995;0.100751;0.365793
