# dataset: MUTAG
# type: GIN
# train_mode: T
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.586134;0.740000;0.690580;0.631579;0.686052;0.736842;1.000000;0.625199;0.229302;0.492906
1;0.246622;1.000000;0.697503;0.368421;0.693430;0.263158;1.000000;0.109649;0.239896;0.500283
2;0.175772;1.000000;0.699277;0.368421;0.682294;1.000000;1.000000;1.000000;0.494468;0.489153
3;0.127263;1.000000;0.663840;0.368421;0.621246;1.000000;1.000000;1.000000;0.462675;0.428243
4;0.111457;1.000000;0.568470;1.000000;0.485399;1.000000;1.000000;1.000000;0.382851;0.297116
5;0.098994;1.000000;0.428434;1.000000;0.354360;1.000000;1.000000;1.000000;0.297093;0.179984
6;0.086271;1.000000;0.301087;1.000000;0.227449;1.000000;1.000000;1.000000;0.203410;0.082837
7;0.077646;1.000000;0.197016;1.000000;0.139802;1.000000;1.000000;1.000000;0.130409;0.034228
8;0.059861;1.000000;0.127794;1.000000;0.087444;1.000000;1.000000;1.000000;0.083601;0.014459
9;0.067428;1.000000;0.087331;1.000000;0.057485;1.000000;1.000000;1.000000;0.055712;0.006788
10;0.046139;1.000000;0.061596;1.000000;0.040261;1.000000;1.000000;1.000000;0.039369;0.003457
11;0.044720;1.000000;0.045138;1.000000;0.029227;1.000000;1.000000;1.000000;0.028748;0.001872
12;0.043320;1.000000;0.035777;1.000000;0.022657;1.000000;1.000000;1.000000;0.022367;0.001141
13;0.032384;1.000000;0.030166;1.000000;0.019224;1.000000;1.000000;1.000000;0.019008;0.000850
14;0.030223;1.000000;0.026162;1.000000;0.016517;1.000000;1.000000;1.000000;0.016355;0.000639
15;0.031178;1.000000;0.024884;1.000000;0.015455;1.000000;1.000000;1.000000;0.015312;0.000566
16;0.027281;1.000000;0.021752;1.000000;0.013806;1.000000;1.000000;1.000000;0.013692;0.000451
17;0.022100;1.000000;0.019376;1.000000;0.012505;1.000000;1.000000;1.000000;0.012411;0.000371
18;0.030271;1.000000;0.017442;1.000000;0.011233;1.000000;1.000000;1.000000;0.011156;0.000304
19;0.021843;1.000000;0.015667;1.000000;0.010257;1.000000;1.000000;1.000000;0.010192;0.000255
