# dataset: PROTEINS
# type: GIN
# train_mode: P
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.724428;0.599550;0.666432;0.633929;0.682637;0.571429;0.521739;0.473677;0.103128;0.488423
1;0.675519;0.653543;0.670717;0.616071;0.680662;0.562500;0.538591;0.468512;0.143342;0.483309
2;0.649761;0.653543;0.673420;0.598214;0.680649;0.616071;0.524435;0.485140;0.084162;0.487089
3;0.639831;0.659168;0.705353;0.598214;0.716740;0.625000;0.528143;0.489773;0.152004;0.513509
4;0.672977;0.633296;0.668645;0.598214;0.676969;0.625000;0.562858;0.489773;0.100570;0.484981
5;0.646598;0.658043;0.630009;0.651786;0.656334;0.571429;0.581732;0.527232;0.124969;0.468746
6;0.640958;0.660292;0.648302;0.607143;0.650791;0.625000;0.593529;0.517045;0.052423;0.466877
7;0.627229;0.661417;0.655586;0.651786;0.660673;0.571429;0.597573;0.494898;0.176747;0.472538
8;0.614501;0.667042;0.680827;0.633929;0.696770;0.580357;0.587799;0.518672;0.142729;0.497882
9;0.619217;0.679415;0.675689;0.633929;0.669717;0.580357;0.612066;0.518672;0.135997;0.472778
10;0.635128;0.660292;0.639976;0.642857;0.650694;0.633929;0.624537;0.604174;0.082762;0.461800
11;0.639154;0.671541;0.644277;0.633929;0.648089;0.616071;0.612066;0.533592;0.088050;0.460710
12;0.618566;0.678290;0.685148;0.633929;0.688982;0.589286;0.586788;0.553051;0.110984;0.488968
