# dataset: PROTEINS
# type: GIN
# train_mode: S
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.699509;0.609674;0.666824;0.669643;0.651929;0.669643;0.705401;0.636437;0.105433;0.458087
1;0.617103;0.694038;0.604364;0.758929;0.652836;0.633929;0.698854;0.555669;0.047988;0.455868
2;0.596546;0.709786;0.594510;0.705357;0.653363;0.633929;0.659247;0.626400;0.054952;0.453267
3;0.575539;0.723285;0.583778;0.776786;0.647445;0.651786;0.683142;0.592845;0.041728;0.447845
4;0.591786;0.713161;0.574403;0.767857;0.620723;0.678571;0.691653;0.656564;0.068845;0.432356
5;0.565251;0.718785;0.598273;0.723214;0.665942;0.580357;0.599673;0.568919;0.051094;0.477645
6;0.559180;0.718785;0.556718;0.776786;0.641575;0.633929;0.671031;0.606730;0.104267;0.447889
7;0.550847;0.743532;0.496813;0.767857;0.596677;0.705357;0.736825;0.692625;0.068232;0.416004
8;0.570325;0.715411;0.493982;0.767857;0.563956;0.714286;0.762029;0.700637;0.067302;0.395131
9;0.554892;0.739033;0.574139;0.732143;0.647362;0.625000;0.671031;0.622264;0.050739;0.454190
10;0.548097;0.743532;0.464704;0.803571;0.604240;0.705357;0.730933;0.689869;0.112969;0.421905
11;0.548051;0.744657;0.528076;0.732143;0.595301;0.651786;0.713912;0.653058;0.070634;0.421199
12;0.562205;0.727784;0.526451;0.776786;0.623856;0.642857;0.692635;0.622282;0.044707;0.438357
13;0.546656;0.748031;0.618925;0.732143;0.652684;0.616071;0.639607;0.602714;0.113826;0.461188
14;0.558722;0.716535;0.598545;0.687500;0.635663;0.651786;0.671686;0.648453;0.075394;0.447088
15;0.560059;0.730034;0.533502;0.767857;0.616499;0.669643;0.702455;0.655367;0.071538;0.430072
16;0.546023;0.748031;0.500821;0.776786;0.596625;0.678571;0.720458;0.672938;0.078197;0.415667
17;0.554676;0.739033;0.533518;0.741071;0.617412;0.660714;0.702128;0.633433;0.062043;0.432530
