# dataset: PROTEINS
# type: GIN
# train_mode: T
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.208066;0.979753;0.665425;0.544643;0.621433;0.687500;0.896987;0.634662;0.347474;0.425019
1;0.050209;1.000000;0.253959;0.883929;0.386209;0.946429;1.000000;0.945899;0.092343;0.136109
2;0.026438;1.000000;0.250958;0.883929;0.447198;0.946429;1.000000;0.945899;0.080036;0.114487
3;0.019419;1.000000;0.860901;0.723214;1.355144;0.687500;0.926142;0.634662;0.296321;0.601156
4;0.012113;1.000000;0.005303;1.000000;0.388188;0.946429;1.000000;0.945899;0.047713;0.103644
5;0.008593;1.000000;0.008546;1.000000;0.495682;0.946429;1.000000;0.945899;0.048886;0.106063
6;0.006923;1.000000;0.005281;1.000000;0.519108;0.946429;1.000000;0.945899;0.049870;0.106307
7;0.005191;1.000000;0.170752;0.883929;0.566966;0.946429;1.000000;0.945899;0.043542;0.107150
8;0.004314;1.000000;0.001441;1.000000;0.194471;0.946429;1.000000;0.945899;0.048393;0.081527
9;0.003456;1.000000;0.001681;1.000000;0.341358;0.946429;1.000000;0.945899;0.050451;0.101512
10;0.003752;1.000000;0.001148;1.000000;0.142137;0.946429;1.000000;0.945899;0.042958;0.064787
11;0.002471;1.000000;2.042806;0.544643;2.226493;0.687500;0.926142;0.634662;0.354962;0.653345
12;0.002267;1.000000;0.002712;1.000000;0.590871;0.946429;1.000000;0.945899;0.051922;0.106752
13;0.002265;1.000000;0.483570;0.883929;0.741061;0.946429;0.961127;0.945899;0.085888;0.129796
14;0.002294;1.000000;0.001099;1.000000;0.597798;0.946429;1.000000;0.945899;0.052678;0.106778
15;0.001967;1.000000;0.002107;1.000000;0.677289;0.946429;1.000000;0.945899;0.052436;0.106990
16;0.001605;1.000000;0.000492;1.000000;0.355164;0.946429;1.000000;0.945899;0.051844;0.102325
17;0.001624;1.000000;0.000406;1.000000;0.229749;0.946429;1.000000;0.945899;0.048485;0.089387
18;0.001539;1.000000;0.517038;0.883929;0.823327;0.946429;0.961127;0.945899;0.085440;0.127464
19;0.000912;1.000000;0.007071;1.000000;0.737720;0.946429;1.000000;0.945899;0.052284;0.107069
20;0.001629;1.000000;0.710095;0.883929;1.058838;0.687500;0.926142;0.634662;0.225309;0.344452
21;0.000985;1.000000;0.011507;1.000000;0.783739;0.946429;1.000000;0.945899;0.052127;0.107106
22;0.000921;1.000000;0.350719;0.883929;0.798709;0.946429;0.961127;0.945899;0.041791;0.108590
23;0.000802;1.000000;0.802000;0.883929;1.394182;0.687500;0.926142;0.634662;0.282864;0.518443
24;0.000804;1.000000;0.017043;1.000000;0.770899;0.946429;1.000000;0.945899;0.052297;0.107096
