# dataset: ogbg-molhiv
# type: GIN
# train_mode: P
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.159590;0.962372;0.181779;0.959640;0.163240;0.962315;0.000000;0.946695;0.043573;0.076266
1;0.146970;0.964986;0.166032;0.962315;0.147087;0.963773;0.000000;0.947426;0.024767;0.069366
2;0.144003;0.964986;0.163571;0.964017;0.137114;0.965232;0.000000;0.948156;0.012683;0.065238
3;0.143506;0.964895;0.159609;0.964017;0.136944;0.965232;0.000000;0.948156;0.007536;0.065305
4;0.143967;0.964986;0.160828;0.964017;0.136113;0.965232;0.000000;0.948156;0.012473;0.064996
5;0.143027;0.964955;0.163336;0.962315;0.143422;0.963530;0.000000;0.947304;0.020137;0.068440
6;0.142685;0.964925;0.156521;0.964017;0.134394;0.965232;0.000000;0.948156;0.011421;0.064670
7;0.141735;0.964955;0.154620;0.964017;0.139701;0.964989;0.000000;0.948034;0.026475;0.064746
8;0.142203;0.964925;0.157826;0.964017;0.133958;0.965232;0.000000;0.948156;0.008883;0.064569
9;0.142509;0.964925;0.155155;0.963773;0.137389;0.964503;0.000000;0.947791;0.016589;0.065403
10;0.141359;0.964895;0.154720;0.964017;0.132927;0.965232;0.000000;0.948156;0.010404;0.064144
11;0.141243;0.964895;0.158448;0.964017;0.143450;0.964746;0.000000;0.949281;0.033249;0.066032
12;0.140039;0.964986;0.155793;0.964017;0.135364;0.965232;0.000000;0.948156;0.010393;0.065025
13;0.140078;0.965047;0.152955;0.964017;0.133347;0.965232;0.000000;0.948156;0.009754;0.064002
14;0.139618;0.964986;0.156247;0.964017;0.134940;0.965232;0.000000;0.948156;0.013618;0.064514
15;0.138478;0.964804;0.151622;0.964017;0.133787;0.964989;0.000000;0.948034;0.016119;0.063421
16;0.139070;0.964955;0.155805;0.964017;0.132504;0.965232;0.000000;0.948156;0.011660;0.063440
17;0.138240;0.964864;0.154174;0.963773;0.137191;0.965232;0.000000;0.948156;0.015295;0.065196
18;0.138212;0.964743;0.155909;0.964503;0.141507;0.965962;0.000000;0.951240;0.031670;0.064892
19;0.138688;0.964895;0.171236;0.961342;0.161264;0.965718;0.000000;0.953757;0.056563;0.073414
20;0.137908;0.964925;0.153759;0.963773;0.136206;0.964746;0.000000;0.947913;0.020637;0.063961
21;0.138191;0.964895;0.177786;0.961099;0.166931;0.966205;0.000000;0.956910;0.062756;0.077591
22;0.138573;0.964986;0.150267;0.964017;0.130889;0.965232;0.000000;0.948631;0.011709;0.062351
23;0.137696;0.964895;0.163392;0.964017;0.152147;0.966691;0.000000;0.955403;0.051473;0.067798
24;0.137719;0.964986;0.153104;0.964017;0.132362;0.965232;0.000000;0.948156;0.009133;0.063996
25;0.136708;0.964743;0.163201;0.964017;0.136504;0.965232;0.000000;0.948156;0.017954;0.064727
26;0.137624;0.965259;0.152742;0.963773;0.134110;0.964989;0.000000;0.948506;0.018128;0.063027
27;0.138126;0.964804;0.166994;0.964017;0.140597;0.965232;0.000000;0.948156;0.019413;0.066113
28;0.137571;0.965077;0.149322;0.964989;0.133321;0.966448;0.000000;0.951520;0.020455;0.062353
29;0.136861;0.964925;0.153094;0.964017;0.132071;0.965232;0.000000;0.948156;0.012001;0.063463
30;0.138103;0.964986;0.170759;0.962315;0.158108;0.967177;0.000000;0.956375;0.058115;0.071338
31;0.137086;0.964986;0.159878;0.964017;0.135183;0.965232;0.000000;0.948156;0.010786;0.064911
32;0.136533;0.964986;0.153031;0.964017;0.131349;0.965232;0.000000;0.948156;0.009094;0.063219
33;0.136140;0.964986;0.154704;0.962558;0.142361;0.966691;0.000000;0.956357;0.031699;0.066508
34;0.136431;0.964773;0.163085;0.964017;0.137932;0.965232;0.000000;0.948156;0.013084;0.065995
35;0.136966;0.964743;0.159957;0.962558;0.148767;0.965962;0.000000;0.954922;0.036520;0.069534
