# dataset: ogbg-molhiv
# type: GIN
# train_mode: S
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.211539;0.947783;0.158963;0.958668;0.143792;0.965475;0.000000;0.948516;0.016627;0.065054
1;0.144525;0.965624;0.160950;0.958668;0.141152;0.965475;0.000000;0.948516;0.012737;0.064079
2;0.141214;0.965624;0.164045;0.958668;0.146934;0.965475;0.000000;0.948516;0.014930;0.064561
3;0.139663;0.965624;0.154853;0.958668;0.136851;0.965475;0.000000;0.948516;0.006892;0.062749
4;0.138998;0.965624;0.156517;0.958668;0.140165;0.965475;0.000000;0.948516;0.011017;0.062897
5;0.138058;0.965624;0.158543;0.958668;0.140200;0.965475;0.000000;0.948516;0.010345;0.063370
6;0.138121;0.965624;0.152146;0.958668;0.136081;0.965475;0.000000;0.948516;0.007520;0.061697
7;0.137430;0.965563;0.153587;0.958668;0.137431;0.965475;0.000000;0.948516;0.012362;0.061318
8;0.136581;0.965624;0.152984;0.958668;0.134783;0.965475;0.000000;0.948516;0.010044;0.060728
9;0.135863;0.965624;0.152476;0.958668;0.134497;0.965475;0.000000;0.948516;0.010772;0.060697
10;0.134391;0.965655;0.151634;0.958668;0.137252;0.965475;0.000000;0.948516;0.008686;0.062248
11;0.134370;0.965837;0.153103;0.958668;0.136373;0.965475;0.000000;0.948516;0.012964;0.061378
12;0.134413;0.965867;0.159557;0.958668;0.143848;0.965475;0.000000;0.948516;0.016931;0.063509
13;0.133317;0.965958;0.149991;0.958668;0.134040;0.965475;0.000000;0.948516;0.009305;0.061179
14;0.132806;0.966110;0.164482;0.958668;0.147944;0.965475;0.000000;0.948516;0.018051;0.064830
15;0.132267;0.965958;0.155676;0.958668;0.137984;0.965475;0.000000;0.948516;0.009496;0.063213
16;0.132166;0.966080;0.190284;0.951131;0.171462;0.961828;0.000000;0.955636;0.060015;0.083102
17;0.130892;0.966384;0.152220;0.959640;0.133337;0.968879;0.000000;0.958046;0.014267;0.059996
18;0.130681;0.966536;0.157065;0.958425;0.140196;0.965475;0.000000;0.948516;0.015702;0.063377
19;0.130349;0.966961;0.148214;0.959883;0.131908;0.965962;0.000000;0.951040;0.007445;0.059708
20;0.129849;0.966293;0.149011;0.959397;0.131149;0.965962;0.000000;0.953033;0.011710;0.059404
21;0.130261;0.966262;0.153699;0.958668;0.135446;0.966691;0.000000;0.952701;0.011736;0.059370
22;0.129559;0.966840;0.153771;0.958668;0.139131;0.965232;0.000000;0.948395;0.012055;0.062607
23;0.129616;0.966779;0.152633;0.960126;0.135519;0.967907;0.000000;0.956404;0.026763;0.061119
24;0.129345;0.966627;0.160620;0.958668;0.144214;0.965475;0.000000;0.948516;0.016204;0.064072
25;0.128692;0.966718;0.160062;0.958911;0.142740;0.965475;0.000000;0.948992;0.019068;0.062589
26;0.128157;0.966870;0.153781;0.958668;0.136157;0.965475;0.000000;0.948516;0.012319;0.062040
