# dataset: ogbg-molhiv
# type: GIN
# train_mode: T
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.188438;0.991581;0.022682;1.000000;0.021307;1.000000;0.000000;1.000000;0.021353;0.000988
1;0.018494;1.000000;0.027067;1.000000;0.020398;1.000000;0.000000;1.000000;0.020798;0.001083
2;0.007002;1.000000;0.019202;1.000000;0.012854;1.000000;0.000000;1.000000;0.013040;0.001064
3;0.003870;1.000000;0.083452;1.000000;0.038615;0.997812;0.000000;0.997778;0.038676;0.006297
4;0.002780;1.000000;0.281898;0.759300;0.104718;1.000000;0.000000;1.000000;0.095319;0.046136
5;0.002291;1.000000;0.875434;0.518356;0.666385;0.519815;0.000000;0.650044;0.399349;0.538862
6;0.001891;1.000000;0.626163;0.579382;0.365760;0.759543;0.000000;0.835665;0.213871;0.268269
7;0.001744;1.000000;1.456989;0.455142;1.117152;0.279601;0.000000;0.393653;0.560650;0.876020
8;0.001525;1.000000;0.253736;0.804522;0.062157;0.989302;0.000000;0.988359;0.016240;0.022418
9;0.001482;1.000000;0.138606;0.982251;0.107793;0.987600;0.000000;0.986294;0.011793;0.022486
