# dataset: COLLAB
# type: GraphSAGE
# train_mode: P
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.878198;0.584750;0.825808;0.560000;0.811671;0.596000;0.000000;0.537483;0.085395;0.509891
1;0.821299;0.635000;0.787798;0.630000;0.754433;0.702000;0.000000;0.694046;0.124279;0.463728
2;0.803393;0.638250;0.780014;0.642000;0.774689;0.664000;0.000000;0.634690;0.076166;0.483241
3;0.802361;0.639500;0.776657;0.648000;0.746900;0.702000;0.000000;0.695311;0.127965;0.457389
4;0.788017;0.646250;0.793718;0.644000;0.737619;0.684000;0.000000;0.681797;0.113950;0.451326
5;0.785727;0.643500;0.752220;0.642000;0.727882;0.684000;0.000000;0.670247;0.085107;0.448522
6;0.767699;0.656250;0.745912;0.644000;0.708604;0.708000;0.000000;0.701828;0.100005;0.434491
7;0.768665;0.648500;0.752135;0.650000;0.701664;0.722000;0.000000;0.715123;0.110267;0.427222
8;0.765031;0.654750;0.739608;0.644000;0.710928;0.678000;0.000000;0.671868;0.084909;0.436675
9;0.755313;0.654000;0.732424;0.638000;0.712170;0.680000;0.000000;0.664844;0.077560;0.441398
10;0.757173;0.656750;0.740929;0.640000;0.707137;0.702000;0.000000;0.690931;0.068959;0.429030
11;0.755652;0.659750;0.732556;0.644000;0.709972;0.666000;0.000000;0.658177;0.085473;0.440427
12;0.756185;0.652750;0.741042;0.652000;0.681543;0.722000;0.000000;0.717583;0.070387;0.414342
13;0.751621;0.660250;0.721847;0.644000;0.695913;0.694000;0.000000;0.685523;0.072823;0.429344
14;0.737640;0.662500;0.736778;0.646000;0.690863;0.694000;0.000000;0.680103;0.059923;0.425430
15;0.746037;0.658000;0.739469;0.634000;0.691934;0.692000;0.000000;0.677209;0.055947;0.425389
16;0.740679;0.655500;0.732955;0.644000;0.684968;0.708000;0.000000;0.701911;0.078974;0.421908
17;0.749371;0.657000;0.721310;0.646000;0.686188;0.708000;0.000000;0.698823;0.073190;0.423761
18;0.742575;0.659250;0.724374;0.664000;0.684376;0.704000;0.000000;0.699670;0.057294;0.415992
19;0.739466;0.667750;0.721080;0.652000;0.675975;0.710000;0.000000;0.701869;0.071622;0.414640
20;0.748946;0.657250;0.717150;0.658000;0.679634;0.700000;0.000000;0.694113;0.067634;0.417104
21;0.740234;0.664000;0.724713;0.654000;0.670868;0.720000;0.000000;0.712488;0.075266;0.411498
22;0.742353;0.663250;0.740555;0.656000;0.744068;0.642000;0.000000;0.612050;0.065170;0.462058
23;0.741314;0.657250;0.732690;0.656000;0.684709;0.680000;0.000000;0.677056;0.052301;0.423536
24;0.740228;0.668500;0.719826;0.656000;0.675345;0.684000;0.000000;0.678863;0.045744;0.417155
25;0.741926;0.656250;0.715897;0.660000;0.676968;0.698000;0.000000;0.691135;0.057577;0.417181
26;0.748972;0.657000;0.724439;0.656000;0.685817;0.688000;0.000000;0.686265;0.056774;0.421883
27;0.737339;0.663750;0.725615;0.648000;0.685130;0.680000;0.000000;0.678815;0.050758;0.424293
28;0.736393;0.664500;0.723551;0.648000;0.667519;0.732000;0.000000;0.725128;0.086503;0.408293
29;0.727203;0.664250;0.728829;0.606000;0.680940;0.688000;0.000000;0.672683;0.063390;0.424171
30;0.741519;0.660250;0.729425;0.660000;0.677343;0.704000;0.000000;0.704170;0.076734;0.416530
31;0.737062;0.664000;0.724958;0.646000;0.696242;0.676000;0.000000;0.663482;0.067949;0.436073
32;0.737417;0.664250;0.719109;0.656000;0.672774;0.720000;0.000000;0.714031;0.075421;0.412530
