# dataset: COLLAB
# type: GraphSAGE
# train_mode: S
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.855242;0.599000;0.808905;0.650000;0.739396;0.664000;0.000000;0.633091;0.082065;0.461852
1;0.772091;0.651500;0.749202;0.654000;0.682998;0.712000;0.000000;0.709983;0.070431;0.417986
2;0.754724;0.657250;0.740682;0.656000;0.689539;0.702000;0.000000;0.694792;0.093416;0.418821
3;0.739584;0.670500;0.723382;0.660000;0.680537;0.706000;0.000000;0.699214;0.080733;0.418355
4;0.731022;0.669000;0.741663;0.638000;0.696587;0.694000;0.000000;0.687660;0.043201;0.425533
5;0.713821;0.680000;0.696738;0.678000;0.656436;0.722000;0.000000;0.720251;0.059365;0.396347
6;0.710664;0.681500;0.696123;0.678000;0.658270;0.728000;0.000000;0.727353;0.034798;0.398183
7;0.718634;0.674250;0.687879;0.666000;0.651445;0.728000;0.000000;0.725235;0.050185;0.396613
8;0.702832;0.680250;0.708485;0.610000;0.685932;0.628000;0.000000;0.597771;0.102575;0.432738
9;0.709032;0.677500;0.681654;0.700000;0.650635;0.726000;0.000000;0.726141;0.060333;0.390152
10;0.693376;0.685000;0.670447;0.674000;0.635332;0.738000;0.000000;0.738477;0.052409;0.387442
11;0.699411;0.684500;0.668755;0.700000;0.635945;0.730000;0.000000;0.729836;0.050684;0.387172
12;0.692036;0.687250;0.676795;0.676000;0.652810;0.714000;0.000000;0.711704;0.076734;0.398142
13;0.693564;0.685500;0.660921;0.672000;0.650210;0.722000;0.000000;0.719023;0.033467;0.395187
14;0.695353;0.684250;0.666588;0.696000;0.652761;0.734000;0.000000;0.734432;0.037253;0.391236
15;0.687183;0.696750;0.680488;0.696000;0.645017;0.712000;0.000000;0.712497;0.051494;0.391452
16;0.685935;0.692500;0.671527;0.684000;0.643975;0.722000;0.000000;0.719326;0.053797;0.393606
17;0.679488;0.702750;0.682536;0.668000;0.653556;0.718000;0.000000;0.715535;0.040210;0.398493
18;0.684332;0.684250;0.676530;0.672000;0.655094;0.714000;0.000000;0.711653;0.030799;0.398244
19;0.683197;0.691750;0.672908;0.692000;0.667539;0.716000;0.000000;0.712993;0.065143;0.399915
20;0.682662;0.690500;0.667127;0.692000;0.644776;0.720000;0.000000;0.717013;0.046487;0.388412
