# dataset: COLLAB
# type: GraphSAGE
# train_mode: T
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.146759;0.979250;0.439076;0.768000;0.248633;0.916000;0.000000;0.921188;0.082336;0.141485
1;0.013180;0.999750;0.338122;0.804000;0.214530;0.916000;0.000000;0.921188;0.076592;0.129659
2;0.007900;0.999250;0.086286;0.978000;0.010495;1.000000;0.000000;1.000000;0.009438;0.003987
3;0.003366;0.999750;0.001295;1.000000;0.001281;1.000000;0.000000;1.000000;0.001273;0.000003
4;0.001688;1.000000;0.000890;1.000000;0.000866;1.000000;0.000000;1.000000;0.000861;0.000002
5;0.009857;0.996000;0.001307;1.000000;0.001424;1.000000;0.000000;1.000000;0.001432;0.000008
6;0.001190;1.000000;0.000819;1.000000;0.000830;1.000000;0.000000;1.000000;0.000832;0.000001
7;0.000920;1.000000;0.000440;1.000000;0.000421;1.000000;0.000000;1.000000;0.000420;0.000000
8;0.001584;0.999750;0.002476;1.000000;0.001669;1.000000;0.000000;1.000000;0.001665;0.000106
9;0.000840;1.000000;0.000556;1.000000;0.000489;1.000000;0.000000;1.000000;0.000491;0.000002
10;0.001697;1.000000;0.000209;1.000000;0.000210;1.000000;0.000000;1.000000;0.000209;0.000000
11;0.000420;1.000000;0.000213;1.000000;0.000206;1.000000;0.000000;1.000000;0.000206;0.000000
12;0.000565;1.000000;0.000131;1.000000;0.000131;1.000000;0.000000;1.000000;0.000131;0.000000
13;0.000393;1.000000;0.000122;1.000000;0.000121;1.000000;0.000000;1.000000;0.000121;0.000000
14;0.000679;1.000000;0.000271;1.000000;0.000247;1.000000;0.000000;1.000000;0.000247;0.000000
15;0.000306;1.000000;0.000120;1.000000;0.000114;1.000000;0.000000;1.000000;0.000114;0.000000
16;0.000357;1.000000;0.000095;1.000000;0.000098;1.000000;0.000000;1.000000;0.000097;0.000000
17;0.000199;1.000000;0.000086;1.000000;0.000087;1.000000;0.000000;1.000000;0.000087;0.000000
18;0.000244;1.000000;0.000085;1.000000;0.000083;1.000000;0.000000;1.000000;0.000082;0.000000
19;0.000151;1.000000;0.000090;1.000000;0.000087;1.000000;0.000000;1.000000;0.000087;0.000000
20;0.000244;1.000000;0.000062;1.000000;0.000063;1.000000;0.000000;1.000000;0.000062;0.000000
21;0.001724;0.999750;0.000198;1.000000;0.000168;1.000000;0.000000;1.000000;0.000168;0.000000
22;0.000251;1.000000;0.000086;1.000000;0.000089;1.000000;0.000000;1.000000;0.000090;0.000000
23;0.000891;1.000000;0.000041;1.000000;0.000043;1.000000;0.000000;1.000000;0.000043;0.000000
24;0.000146;1.000000;0.000052;1.000000;0.000057;1.000000;0.000000;1.000000;0.000056;0.000000
25;0.000121;1.000000;0.000060;1.000000;0.000065;1.000000;0.000000;1.000000;0.000065;0.000000
26;0.000106;1.000000;0.000054;1.000000;0.000059;1.000000;0.000000;1.000000;0.000059;0.000000
27;0.000103;1.000000;0.000040;1.000000;0.000045;1.000000;0.000000;1.000000;0.000045;0.000000
28;0.000093;1.000000;0.000043;1.000000;0.000048;1.000000;0.000000;1.000000;0.000048;0.000000
29;0.000111;1.000000;0.000039;1.000000;0.000046;1.000000;0.000000;1.000000;0.000046;0.000000
30;0.000097;1.000000;0.000039;1.000000;0.000046;1.000000;0.000000;1.000000;0.000046;0.000000
31;0.000111;1.000000;0.000037;1.000000;0.000043;1.000000;0.000000;1.000000;0.000043;0.000000
32;0.000091;1.000000;0.000040;1.000000;0.000045;1.000000;0.000000;1.000000;0.000045;0.000000
33;0.000121;1.000000;0.000034;1.000000;0.000041;1.000000;0.000000;1.000000;0.000041;0.000000
34;0.000153;1.000000;0.000032;1.000000;0.000045;1.000000;0.000000;1.000000;0.000045;0.000000
35;0.000097;1.000000;0.000030;1.000000;0.000041;1.000000;0.000000;1.000000;0.000041;0.000000
36;0.000097;1.000000;0.000030;1.000000;0.000047;1.000000;0.000000;1.000000;0.000047;0.000000
37;0.000127;1.000000;0.000034;1.000000;0.000065;1.000000;0.000000;1.000000;0.000066;0.000000
38;0.000152;1.000000;0.000041;1.000000;0.000040;1.000000;0.000000;1.000000;0.000040;0.000000
39;0.000099;1.000000;0.000030;1.000000;0.000081;1.000000;0.000000;1.000000;0.000082;0.000000
40;0.000110;1.000000;0.000034;1.000000;0.000092;1.000000;0.000000;1.000000;0.000093;0.000000
41;0.000127;1.000000;0.000055;1.000000;0.000149;1.000000;0.000000;1.000000;0.000152;0.000000
42;0.000106;1.000000;0.000175;1.000000;0.000087;1.000000;0.000000;1.000000;0.000088;0.000000
