# dataset: IMDB-BINARY
# type: GraphSAGE
# train_mode: P
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.711623;0.517500;0.686618;0.540000;0.675620;0.560000;0.642657;0.525646;0.024043;0.489535
1;0.688541;0.536250;0.662812;0.480000;0.692474;0.580000;0.652461;0.547207;0.024122;0.480841
2;0.680604;0.551250;0.639293;0.600000;0.664610;0.610000;0.670468;0.604355;0.068274;0.478346
3;0.685210;0.550000;0.630577;0.680000;0.676156;0.670000;0.656463;0.669901;0.116762;0.476694
4;0.683888;0.563750;0.623579;0.720000;0.689886;0.610000;0.642257;0.604327;0.083424;0.483123
5;0.679463;0.557500;0.616575;0.680000;0.681204;0.660000;0.654662;0.660000;0.109843;0.472052
6;0.675883;0.562500;0.644204;0.570000;0.668060;0.580000;0.660864;0.564374;0.014104;0.474300
7;0.672839;0.582500;0.609649;0.710000;0.678870;0.660000;0.664466;0.659181;0.135653;0.473576
8;0.672712;0.567500;0.606421;0.690000;0.695547;0.650000;0.654462;0.649474;0.101971;0.467598
9;0.672755;0.576250;0.661222;0.480000;0.677275;0.520000;0.662665;0.424000;0.074281;0.480565
10;0.672932;0.565000;0.616022;0.680000;0.680332;0.650000;0.663265;0.648772;0.072752;0.463442
11;0.670358;0.581250;0.600554;0.730000;0.679402;0.670000;0.670268;0.667904;0.129976;0.469421
12;0.670430;0.585000;0.613155;0.720000;0.676918;0.670000;0.672269;0.669504;0.138127;0.470753
13;0.671584;0.570000;0.608777;0.680000;0.674085;0.690000;0.665266;0.690031;0.119071;0.466541
14;0.666918;0.590000;0.652881;0.470000;0.675584;0.580000;0.698079;0.521872;0.041575;0.473655
15;0.664896;0.601250;0.614871;0.590000;0.694549;0.650000;0.684874;0.635512;0.072158;0.462079
16;0.655790;0.615000;0.593050;0.720000;0.680731;0.670000;0.671469;0.669504;0.089719;0.460058
17;0.662448;0.600000;0.600119;0.730000;0.693986;0.650000;0.677671;0.648769;0.074914;0.461968
18;0.664663;0.590000;0.664710;0.560000;0.661820;0.510000;0.672669;0.468616;0.134109;0.479317
19;0.672392;0.590000;0.609639;0.700000;0.690641;0.650000;0.692477;0.649895;0.070639;0.459141
20;0.663364;0.593750;0.609274;0.700000;0.678966;0.680000;0.681873;0.680000;0.110224;0.458716
21;0.654867;0.615000;0.604961;0.710000;0.670033;0.680000;0.685274;0.679744;0.095703;0.461071
22;0.661684;0.602500;0.622152;0.610000;0.688024;0.650000;0.701681;0.638359;0.079878;0.461345
23;0.656307;0.613750;0.634869;0.630000;0.663886;0.660000;0.675470;0.657262;0.099797;0.464509
