# dataset: IMDB-BINARY
# type: GraphSAGE
# train_mode: S
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.731339;0.555000;0.711958;0.500000;0.674175;0.600000;0.694088;0.460157;0.077230;0.485609
1;0.702959;0.585000;0.700243;0.550000;0.653932;0.620000;0.573998;0.591710;0.047859;0.479061
2;0.702561;0.588750;0.689168;0.540000;0.658663;0.580000;0.511368;0.528596;0.021037;0.492065
3;0.706092;0.576250;0.688343;0.580000;0.647220;0.620000;0.570690;0.591710;0.037341;0.479478
4;0.694595;0.597500;0.692860;0.530000;0.656580;0.590000;0.590533;0.556605;0.011990;0.481869
5;0.691638;0.581250;0.693196;0.510000;0.672951;0.580000;0.465275;0.528596;0.081445;0.510084
6;0.689775;0.601250;0.684070;0.550000;0.642655;0.610000;0.601902;0.583556;0.032920;0.476621
7;0.689516;0.576250;0.681074;0.540000;0.664699;0.580000;0.489665;0.501414;0.060002;0.499291
8;0.692468;0.602500;0.677131;0.540000;0.658593;0.600000;0.525837;0.490232;0.066033;0.489262
9;0.690324;0.591250;0.688445;0.540000;0.666691;0.570000;0.526871;0.534976;0.043127;0.497150
10;0.678706;0.583750;0.669852;0.550000;0.629691;0.630000;0.608103;0.581202;0.054890;0.462887
11;0.680605;0.603750;0.671183;0.550000;0.652028;0.620000;0.556015;0.566091;0.062988;0.481976
12;0.673833;0.621250;0.690075;0.500000;0.670233;0.580000;0.472509;0.449790;0.106547;0.511252
13;0.672796;0.618750;0.667617;0.570000;0.663131;0.630000;0.528731;0.613504;0.088611;0.486979
14;0.666419;0.638750;0.681016;0.510000;0.636253;0.590000;0.587433;0.496740;0.088265;0.479780
15;0.674225;0.612500;0.685144;0.530000;0.617496;0.610000;0.644068;0.578234;0.082742;0.471757
16;0.667219;0.652500;0.670588;0.540000;0.663231;0.620000;0.550434;0.557920;0.088910;0.487839
17;0.670532;0.630000;0.667783;0.540000;0.653944;0.580000;0.550021;0.520417;0.082750;0.493579
18;0.668317;0.636250;0.677254;0.530000;0.629684;0.620000;0.601282;0.527917;0.062754;0.480552
19;0.656862;0.636250;0.669128;0.530000;0.619424;0.570000;0.630839;0.494773;0.113905;0.464200
20;0.646558;0.652500;0.663108;0.530000;0.610459;0.650000;0.663911;0.580037;0.037557;0.454146
21;0.650044;0.642500;0.681364;0.500000;0.660561;0.570000;0.516742;0.504489;0.058824;0.497782
22;0.662583;0.616250;0.664258;0.530000;0.606494;0.640000;0.638694;0.608022;0.034678;0.457223
23;0.655199;0.651250;0.667593;0.510000;0.650391;0.580000;0.556428;0.520417;0.097173;0.489343
24;0.648014;0.626250;0.666246;0.550000;0.607538;0.630000;0.637867;0.565270;0.068953;0.464221
25;0.639001;0.656250;0.654110;0.560000;0.615722;0.660000;0.637867;0.643030;0.096228;0.454992
26;0.657302;0.633750;0.677899;0.530000;0.646352;0.590000;0.579165;0.484236;0.132126;0.490832
27;0.652346;0.632500;0.671363;0.530000;0.634863;0.640000;0.622571;0.602286;0.078672;0.473718
28;0.659332;0.641250;0.666037;0.510000;0.628243;0.610000;0.611410;0.558565;0.052447;0.471800
29;0.648935;0.653750;0.655911;0.540000;0.620044;0.680000;0.618437;0.667341;0.100233;0.464513
30;0.651364;0.660000;0.677800;0.520000;0.619372;0.610000;0.627532;0.565792;0.059418;0.465421
31;0.644875;0.633750;0.646312;0.550000;0.596953;0.670000;0.636007;0.647624;0.092726;0.449271
32;0.643458;0.638750;0.649269;0.550000;0.607078;0.660000;0.648202;0.629799;0.099498;0.453647
33;0.656733;0.635000;0.649716;0.550000;0.597952;0.650000;0.653369;0.630558;0.056665;0.448753
34;0.634577;0.662500;0.650816;0.550000;0.598703;0.670000;0.655436;0.647624;0.063134;0.445800
35;0.645468;0.646250;0.655164;0.580000;0.617126;0.650000;0.651095;0.603840;0.079700;0.455789
36;0.641302;0.657500;0.673231;0.520000;0.633035;0.590000;0.591980;0.550397;0.060531;0.482690
37;0.656431;0.633750;0.645433;0.550000;0.599729;0.640000;0.636420;0.613199;0.138396;0.444067
38;0.635147;0.666250;0.669385;0.540000;0.640324;0.580000;0.578752;0.554166;0.055791;0.485949
39;0.639906;0.655000;0.654712;0.540000;0.613243;0.650000;0.628979;0.630558;0.071252;0.459096
40;0.643453;0.648750;0.684326;0.520000;0.606505;0.640000;0.640761;0.608022;0.096954;0.464529
41;0.642611;0.655000;0.653760;0.560000;0.650127;0.570000;0.607276;0.564779;0.104215;0.475008
42;0.652665;0.631250;0.662290;0.550000;0.606821;0.680000;0.652129;0.667341;0.105236;0.447026
43;0.653836;0.641250;0.647327;0.540000;0.611360;0.640000;0.644481;0.617856;0.096855;0.452482
44;0.623006;0.662500;0.645457;0.550000;0.607903;0.640000;0.632079;0.613199;0.116998;0.453918
