# dataset: IMDB-BINARY
# type: GraphSAGE
# train_mode: T
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.161133;0.948750;0.550154;0.800000;0.512520;0.880000;1.000000;0.878247;0.272772;0.332709
1;0.028171;1.000000;0.038239;1.000000;0.036595;1.000000;1.000000;1.000000;0.035922;0.002791
2;0.017341;1.000000;0.007250;1.000000;0.007894;1.000000;1.000000;1.000000;0.007545;0.000127
3;0.008791;1.000000;0.004406;1.000000;0.004694;1.000000;1.000000;1.000000;0.004539;0.000044
4;0.006830;1.000000;0.003151;1.000000;0.003190;1.000000;1.000000;1.000000;0.003135;0.000020
5;0.004725;1.000000;0.002512;1.000000;0.002582;1.000000;1.000000;1.000000;0.002521;0.000013
6;0.004680;1.000000;0.001842;1.000000;0.001973;1.000000;1.000000;1.000000;0.001907;0.000008
7;0.004460;1.000000;0.001422;1.000000;0.001444;1.000000;1.000000;1.000000;0.001419;0.000004
8;0.002665;1.000000;0.001197;1.000000;0.001254;1.000000;1.000000;1.000000;0.001221;0.000003
9;0.002035;1.000000;0.001131;1.000000;0.001109;1.000000;1.000000;1.000000;0.001103;0.000003
10;0.003005;1.000000;0.000811;1.000000;0.000836;1.000000;1.000000;1.000000;0.000817;0.000001
11;0.002209;1.000000;0.000746;1.000000;0.000747;1.000000;1.000000;1.000000;0.000737;0.000001
12;0.001821;1.000000;0.000659;1.000000;0.000699;1.000000;1.000000;1.000000;0.000680;0.000001
13;0.001602;1.000000;0.000581;1.000000;0.000584;1.000000;1.000000;1.000000;0.000576;0.000001
14;0.001498;1.000000;0.000503;1.000000;0.000524;1.000000;1.000000;1.000000;0.000511;0.000001
15;0.001119;1.000000;0.000479;1.000000;0.000473;1.000000;1.000000;1.000000;0.000470;0.000000
16;0.001011;1.000000;0.000442;1.000000;0.000425;1.000000;1.000000;1.000000;0.000424;0.000000
17;0.001239;1.000000;0.000395;1.000000;0.000377;1.000000;1.000000;1.000000;0.000378;0.000000
18;0.000800;1.000000;0.000367;1.000000;0.000381;1.000000;1.000000;1.000000;0.000374;0.000000
19;0.000993;1.000000;0.000350;1.000000;0.000324;1.000000;1.000000;1.000000;0.000329;0.000000
20;0.000997;1.000000;0.000278;1.000000;0.000272;1.000000;1.000000;1.000000;0.000270;0.000000
21;0.000833;1.000000;0.000263;1.000000;0.000266;1.000000;1.000000;1.000000;0.000262;0.000000
22;0.000610;1.000000;0.000262;1.000000;0.000262;1.000000;1.000000;1.000000;0.000259;0.000000
23;0.000582;1.000000;0.000246;1.000000;0.000226;1.000000;1.000000;1.000000;0.000230;0.000000
24;0.000645;1.000000;0.000218;1.000000;0.000220;1.000000;1.000000;1.000000;0.000217;0.000000
25;0.000554;1.000000;0.000200;1.000000;0.000208;1.000000;1.000000;1.000000;0.000203;0.000000
26;0.000586;1.000000;0.000188;1.000000;0.000191;1.000000;1.000000;1.000000;0.000190;0.000000
27;0.000501;1.000000;0.000181;1.000000;0.000185;1.000000;1.000000;1.000000;0.000181;0.000000
28;0.000579;1.000000;0.000167;1.000000;0.000162;1.000000;1.000000;1.000000;0.000162;0.000000
29;0.000393;1.000000;0.000169;1.000000;0.000166;1.000000;1.000000;1.000000;0.000165;0.000000
30;0.000381;1.000000;0.000154;1.000000;0.000149;1.000000;1.000000;1.000000;0.000149;0.000000
31;0.000624;1.000000;0.000134;1.000000;0.000151;1.000000;1.000000;1.000000;0.000144;0.000000
32;0.000382;1.000000;0.000132;1.000000;0.000134;1.000000;1.000000;1.000000;0.000132;0.000000
33;0.000332;1.000000;0.000133;1.000000;0.000139;1.000000;1.000000;1.000000;0.000137;0.000000
34;0.000507;1.000000;0.000137;1.000000;0.000126;1.000000;1.000000;1.000000;0.000128;0.000000
35;0.000243;1.000000;0.000125;1.000000;0.000136;1.000000;1.000000;1.000000;0.000132;0.000000
36;0.000341;1.000000;0.000112;1.000000;0.000121;1.000000;1.000000;1.000000;0.000117;0.000000
37;0.000246;1.000000;0.000123;1.000000;0.000115;1.000000;1.000000;1.000000;0.000116;0.000000
38;0.000294;1.000000;0.000104;1.000000;0.000105;1.000000;1.000000;1.000000;0.000105;0.000000
39;0.000388;1.000000;0.000098;1.000000;0.000104;1.000000;1.000000;1.000000;0.000102;0.000000
40;0.000608;1.000000;0.000093;1.000000;0.000093;1.000000;1.000000;1.000000;0.000093;0.000000
41;0.000237;1.000000;0.000099;1.000000;0.000098;1.000000;1.000000;1.000000;0.000098;0.000000
42;0.000316;1.000000;0.000092;1.000000;0.000097;1.000000;1.000000;1.000000;0.000096;0.000000
43;0.000232;1.000000;0.000099;1.000000;0.000096;1.000000;1.000000;1.000000;0.000097;0.000000
44;0.000183;1.000000;0.000097;1.000000;0.000094;1.000000;1.000000;1.000000;0.000094;0.000000
45;0.000211;1.000000;0.000092;1.000000;0.000098;1.000000;1.000000;1.000000;0.000097;0.000000
46;0.000410;1.000000;0.000069;1.000000;0.000076;1.000000;1.000000;1.000000;0.000074;0.000000
