# dataset: IMDB-MULTI
# type: GraphSAGE
# train_mode: P
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;1.109127;0.349167;1.090575;0.373333;1.098018;0.360000;0.000000;0.287807;0.045961;0.665560
1;1.093450;0.376667;1.086541;0.440000;1.064686;0.413333;0.000000;0.339278;0.036854;0.646239
2;1.095552;0.380000;1.077980;0.400000;1.066837;0.426667;0.000000;0.367436;0.036879;0.648366
3;1.102004;0.364167;1.085766;0.393333;1.090120;0.386667;0.000000;0.348494;0.008648;0.661799
4;1.095754;0.353333;1.067402;0.440000;1.066940;0.413333;0.000000;0.338975;0.028870;0.647821
5;1.084303;0.392500;1.058547;0.413333;1.087276;0.400000;0.000000;0.338384;0.074628;0.659478
6;1.086395;0.380833;1.066177;0.433333;1.080294;0.406667;0.000000;0.372147;0.027165;0.655672
7;1.081303;0.377500;1.056632;0.453333;1.079135;0.386667;0.000000;0.341616;0.029246;0.655096
8;1.081598;0.371667;1.065801;0.413333;1.079617;0.406667;0.000000;0.313333;0.046017;0.656756
9;1.090891;0.370833;1.055377;0.453333;1.079509;0.393333;0.000000;0.355547;0.030424;0.655244
10;1.085055;0.386667;1.057998;0.453333;1.093488;0.386667;0.000000;0.306444;0.062939;0.664896
11;1.080878;0.390000;1.051316;0.460000;1.080261;0.380000;0.000000;0.303912;0.054522;0.656251
12;1.080504;0.396667;1.049887;0.460000;1.083717;0.393333;0.000000;0.311845;0.067745;0.658689
13;1.078184;0.400000;1.068966;0.406667;1.069379;0.413333;0.000000;0.364250;0.047342;0.650677
14;1.075322;0.405000;1.048460;0.460000;1.092241;0.393333;0.000000;0.311407;0.027563;0.663926
15;1.074190;0.413333;1.067589;0.433333;1.068485;0.413333;0.000000;0.376647;0.045273;0.648982
16;1.079458;0.397500;1.055821;0.433333;1.065845;0.413333;0.000000;0.380801;0.041138;0.647165
17;1.085827;0.390000;1.074635;0.360000;1.083276;0.386667;0.000000;0.262375;0.043693;0.658181
18;1.078413;0.397500;1.057730;0.453333;1.066428;0.420000;0.000000;0.341760;0.035272;0.648042
19;1.078998;0.395000;1.052704;0.460000;1.071460;0.406667;0.000000;0.330555;0.028494;0.651211
20;1.075830;0.400000;1.054012;0.460000;1.072603;0.380000;0.000000;0.308399;0.019848;0.651679
21;1.073254;0.403333;1.049616;0.466667;1.079051;0.386667;0.000000;0.334985;0.035176;0.655447
