# dataset: IMDB-MULTI
# type: GraphSAGE
# train_mode: S
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;1.135294;0.368333;1.111914;0.380000;1.088143;0.440000;0.000000;0.404975;0.069651;0.659585
1;1.115609;0.390833;1.110449;0.353333;1.090506;0.413333;0.000000;0.393810;0.073081;0.662177
2;1.109177;0.400833;1.103311;0.373333;1.091633;0.426667;0.000000;0.399886;0.045569;0.662263
3;1.108458;0.397500;1.140449;0.280000;1.101249;0.353333;0.000000;0.266667;0.074879;0.670857
4;1.106859;0.406667;1.125032;0.313333;1.096310;0.366667;0.000000;0.276798;0.051448;0.666897
5;1.108691;0.398333;1.128868;0.286667;1.102444;0.366667;0.000000;0.317547;0.068875;0.671145
6;1.100991;0.388333;1.109873;0.373333;1.097504;0.400000;0.000000;0.355001;0.042831;0.666099
7;1.105012;0.399167;1.119308;0.353333;1.095982;0.440000;0.000000;0.421532;0.025799;0.664727
8;1.099132;0.404167;1.103874;0.373333;1.086841;0.420000;0.000000;0.383132;0.020642;0.658458
9;1.097379;0.397500;1.109372;0.366667;1.091728;0.420000;0.000000;0.375330;0.033836;0.662273
