# dataset: IMDB-MULTI
# type: GraphSAGE
# train_mode: T
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.263416;0.955000;0.352478;0.933333;0.310143;1.000000;0.000000;1.000000;0.264578;0.115977
1;0.038959;1.000000;0.020101;1.000000;0.019138;1.000000;0.000000;1.000000;0.018772;0.000576
2;0.019720;1.000000;0.010239;1.000000;0.009654;1.000000;0.000000;1.000000;0.009529;0.000145
3;0.015100;0.998333;0.054806;1.000000;0.047224;1.000000;0.000000;1.000000;0.039818;0.015655
4;0.009671;1.000000;0.005529;1.000000;0.004876;1.000000;0.000000;1.000000;0.004893;0.000080
5;0.005542;1.000000;0.003544;1.000000;0.003170;1.000000;0.000000;1.000000;0.003165;0.000019
6;0.004236;1.000000;0.003690;1.000000;0.002654;1.000000;0.000000;1.000000;0.002625;0.000014
7;0.010424;0.998333;0.001954;1.000000;0.001878;1.000000;0.000000;1.000000;0.001874;0.000006
8;0.003464;1.000000;0.001321;1.000000;0.001303;1.000000;0.000000;1.000000;0.001289;0.000003
9;0.003310;1.000000;0.001008;1.000000;0.000929;1.000000;0.000000;1.000000;0.000925;0.000001
10;0.003719;0.999167;0.000909;1.000000;0.000906;1.000000;0.000000;1.000000;0.000905;0.000001
11;0.002290;1.000000;0.000632;1.000000;0.000642;1.000000;0.000000;1.000000;0.000637;0.000001
12;0.001978;1.000000;0.000618;1.000000;0.000615;1.000000;0.000000;1.000000;0.000621;0.000001
13;0.002145;1.000000;0.000588;1.000000;0.000584;1.000000;0.000000;1.000000;0.000587;0.000001
14;0.001471;1.000000;0.000508;1.000000;0.000515;1.000000;0.000000;1.000000;0.000514;0.000000
15;0.004865;0.996667;0.000447;1.000000;0.000437;1.000000;0.000000;1.000000;0.000438;0.000000
16;0.001258;1.000000;0.000411;1.000000;0.000398;1.000000;0.000000;1.000000;0.000399;0.000000
17;0.000812;1.000000;0.000341;1.000000;0.000335;1.000000;0.000000;1.000000;0.000335;0.000000
18;0.001016;1.000000;0.000325;1.000000;0.000312;1.000000;0.000000;1.000000;0.000314;0.000000
19;0.000921;1.000000;0.000242;1.000000;0.000240;1.000000;0.000000;1.000000;0.000240;0.000000
20;0.000856;1.000000;0.000299;1.000000;0.000290;1.000000;0.000000;1.000000;0.000292;0.000000
21;0.000788;1.000000;0.000210;1.000000;0.000210;1.000000;0.000000;1.000000;0.000210;0.000000
22;0.000675;1.000000;0.000198;1.000000;0.000199;1.000000;0.000000;1.000000;0.000197;0.000000
23;0.001509;1.000000;0.000268;1.000000;0.000272;1.000000;0.000000;1.000000;0.000269;0.000000
24;0.000775;1.000000;0.000208;1.000000;0.000206;1.000000;0.000000;1.000000;0.000205;0.000000
25;0.000497;1.000000;0.000204;1.000000;0.000202;1.000000;0.000000;1.000000;0.000200;0.000000
26;0.000637;1.000000;0.000195;1.000000;0.000197;1.000000;0.000000;1.000000;0.000194;0.000000
27;0.000552;1.000000;0.000159;1.000000;0.000154;1.000000;0.000000;1.000000;0.000154;0.000000
28;0.000650;1.000000;0.000154;1.000000;0.000149;1.000000;0.000000;1.000000;0.000149;0.000000
29;0.000652;1.000000;0.000161;1.000000;0.000158;1.000000;0.000000;1.000000;0.000157;0.000000
30;0.000452;1.000000;0.000145;1.000000;0.000143;1.000000;0.000000;1.000000;0.000142;0.000000
