# dataset: MUTAG
# type: GraphSAGE
# train_mode: P
epoch;train_loss;train_acc;val_loss;val_acc;test_loss;test_acc;AUC;F1;ECE;Brier
0;0.676366;0.593333;0.692247;0.526316;0.668609;0.578947;0.806818;0.424561;0.005738;0.475850
1;0.597880;0.693333;0.694861;0.526316;0.661145;0.578947;0.886364;0.424561;0.233007;0.469034
2;0.583051;0.693333;0.692139;0.526316;0.649773;0.578947;0.840909;0.424561;0.217691;0.458687
3;0.565865;0.693333;0.691756;0.526316;0.638625;0.578947;0.829545;0.424561;0.072181;0.449342
4;0.571520;0.706667;0.695981;0.526316;0.629571;0.578947;0.806818;0.424561;0.101927;0.443203
5;0.550305;0.740000;0.686207;0.526316;0.610860;0.578947;0.806818;0.424561;0.152225;0.427132
6;0.539562;0.746667;0.690740;0.578947;0.603791;0.578947;0.806818;0.424561;0.199657;0.423141
7;0.531427;0.746667;0.704596;0.578947;0.605975;0.578947;0.806818;0.424561;0.227344;0.427288
8;0.509194;0.793333;0.705805;0.578947;0.598447;0.578947;0.818182;0.424561;0.160896;0.420875
9;0.539407;0.700000;0.703727;0.631579;0.588125;0.578947;0.886364;0.424561;0.163464;0.411251
10;0.520331;0.760000;0.657602;0.578947;0.535934;0.789474;0.886364;0.783208;0.173470;0.361895
11;0.540711;0.733333;0.673185;0.631579;0.544980;0.789474;0.886364;0.770580;0.130423;0.370812
12;0.491522;0.786667;0.663121;0.736842;0.531546;0.842105;0.875000;0.833360;0.181621;0.358189
13;0.511485;0.773333;0.656902;0.736842;0.520522;0.842105;0.875000;0.833360;0.224629;0.347967
14;0.504313;0.740000;0.652210;0.684211;0.508960;0.842105;0.875000;0.833360;0.178819;0.337613
15;0.509148;0.760000;0.657417;0.736842;0.511027;0.842105;0.875000;0.833360;0.173530;0.339513
16;0.498696;0.760000;0.644343;0.684211;0.492513;0.842105;0.875000;0.833360;0.098677;0.322594
17;0.499635;0.780000;0.638525;0.684211;0.481139;0.842105;0.875000;0.833360;0.100964;0.312167
18;0.521271;0.746667;0.642312;0.684211;0.482492;0.842105;0.875000;0.833360;0.098649;0.313325
19;0.498931;0.800000;0.632329;0.684211;0.464459;0.789474;0.875000;0.783208;0.109788;0.296722
20;0.510014;0.753333;0.650836;0.684211;0.477313;0.842105;0.875000;0.833360;0.098682;0.309062
21;0.470557;0.793333;0.669130;0.684211;0.489296;0.842105;0.875000;0.833360;0.094815;0.320346
22;0.531279;0.726667;0.677276;0.736842;0.490556;0.842105;0.875000;0.833360;0.163045;0.321697
23;0.519310;0.766667;0.646556;0.684211;0.456092;0.789474;0.875000;0.783208;0.101416;0.291294
24;0.481255;0.753333;0.652045;0.684211;0.456966;0.789474;0.875000;0.783208;0.096025;0.292616
25;0.490992;0.786667;0.679523;0.684211;0.478364;0.842105;0.875000;0.833360;0.096713;0.311739
26;0.486753;0.773333;0.677658;0.684211;0.474056;0.842105;0.875000;0.833360;0.097166;0.307945
